"Category","File","Paper","Source","Path"
"surveys","Osmani_Agent_Skills_2026.md","Addy Osmani's Agent Skills — 生产级工程技能库","https://github.com/addyosmani/agent-skills (44.2k+ stars as of 2026-05-21)","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\surveys\Osmani_Agent_Skills_2026.md"
"surveys","Self_Driving_Labs_ChemRev_2024.md","Self-Driving Laboratories for Chemistry and Materials Science","Chemical Reviews, doi:10.1021/acs.chemrev.4c00055","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\surveys\Self_Driving_Labs_ChemRev_2024.md"
"systems","Adaptive_AI_Decision_Interface_2025.md","Adaptive AI Decision Interface for Autonomous Electronic Material Discovery","Nature Chemical Engineering, doi:10.1038/s44286-025-00318-3","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Adaptive_AI_Decision_Interface_2025.md"
"systems","AFION_Plasmonic_SDL_2025.md","Self-Driving Lab for the Photochemical Synthesis of Plasmonic Nanoparticles with Targeted Structural and Optical Properties","Nature Communications, doi:10.1038/s41467-025-56788-9","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AFION_Plasmonic_SDL_2025.md"
"systems","Agent_Laboratory_2024.md","Agent Laboratory: Using LLM Agents as Research Assistants","arXiv:2501.04227","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Agent_Laboratory_2024.md"
"systems","AlphaProof_Nexus_2026.md","Advancing Mathematics Research with AI-Driven Formal Proof Search","arXiv:2605.22763v1; https://github.com/google-deepmind/alphaproof-nexus-results","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AlphaProof_Nexus_2026.md"
"systems","AI_Researcher_HKU_2025.md","AI-Researcher: Autonomous Scientific Innovation","https://github.com/HKUDS/AI-Researcher; arXiv: 2505.18705","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AI_Researcher_HKU_2025.md"
"systems","AI_Scientist_2024.md","The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery","arXiv:2408.06292","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AI_Scientist_2024.md"
"systems","AI_Scientist_Nature_2026.md","Towards end-to-end automation of AI research","Nature, Vol 651, 26 March 2026, doi:10.1038/s41586-026-10265-5","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AI_Scientist_Nature_2026.md"
"systems","ALab_2023.md","An autonomous laboratory for the accelerated synthesis of inorganic materials","Nature, doi:10.1038/s41586-023-06734-w; correction doi:10.1038/s41586-025-09992-y","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\ALab_2023.md"
"systems","AlphaEvolve_2025.md","AlphaEvolve: A Coding Agent for Scientific and Algorithmic Discovery","arXiv:2506.13131","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AlphaEvolve_2025.md"
"systems","ARA_2026.md","The Last Human-Written Paper: Agent-Native Research Artifacts","arXiv:2604.24658v2","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\ARA_2026.md"
"systems","BioMedAgent_2026.md","Empowering AI Data Scientists Using a Multi-Agent LLM Framework with Self-Evolving Capabilities for Autonomous, Tool-Aware Biomedical Data Analyses","Nature Biomedical Engineering, doi:10.1038/s41551-026-01634-6; PubMed:41912700; code:https://github.com/BOBQWERA/BioMedAgent","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\BioMedAgent_2026.md"
"systems","Causal_Hypothesis_LLM_2025.md","Large Language Models for Causal Hypothesis Generation in Science","Machine Learning: Science and Technology, doi:10.1088/2632-2153/ada47f","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Causal_Hypothesis_LLM_2025.md"
"systems","CellVoyager_2026.md","CellVoyager: AI CompBio Agent Generates New Insights by Autonomously Analyzing Biological Data","Nature Methods, doi:10.1038/s41592-026-03029-6","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\CellVoyager_2026.md"
"systems","Climate_Self_Evolving_Agent_2025.md","A Self-Evolving AI Agent System for Climate Science","arXiv:2507.17311","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Climate_Self_Evolving_Agent_2025.md"
"systems","Coscientist_2023.md","Autonomous chemical research with large language models","Nature, doi:10.1038/s41586-023-06792-0","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Coscientist_2023.md"
"systems","CoScientist_2026.md","Accelerating scientific discovery with Co-Scientist","Nature, doi:10.1038/s41586-026-10644-y; arXiv:2502.18864","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\CoScientist_2026.md"
"systems","CRISPR_GPT_2026.md","CRISPR-GPT for agentic automation of gene-editing experiments","Nature Biomedical Engineering, doi:10.1038/s41551-025-01463-z; PMCID:PMC12920143","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\CRISPR_GPT_2026.md"
"systems","DatawiseAgent_2025.md","DatawiseAgent: A Notebook-Centric LLM Agent Framework for Adaptive and Robust Data Science Automation","arXiv:2503.07044","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\DatawiseAgent_2025.md"
"systems","ERA_2026.md","An AI system to help scientists write expert-level empirical software","Nature, doi:10.1038/s41586-026-10658-6; arXiv:2509.06503v3; Google Research publication page","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\ERA_2026.md"
"systems","GeneAgent_2025.md","GeneAgent: Self-Verification Language Agent for Gene Set Knowledge Discovery Using Domain Databases","Nature Methods, doi:10.1038/s41592-025-02748-6; arXiv:2405.16205","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\GeneAgent_2025.md"
"systems","GPT_Researcher_2024.md","GPT-Researcher","https://github.com/assafelovic/gpt-researcher","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\GPT_Researcher_2024.md"
"systems","Jupiter_Notebook_Agent_2025.md","Jupiter: Enhancing LLM Data Analysis Capabilities via Notebook and Inference-Time Value-Guided Search","arXiv:2509.09245","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Jupiter_Notebook_Agent_2025.md"
"systems","Kosmos_2025.md","Kosmos: An AI Scientist for Autonomous Discovery","arXiv:2511.02824","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Kosmos_2025.md"
"systems","MC_NEST_2025.md","Iterative Hypothesis Generation for Scientific Discovery with Monte Carlo Nash Equilibrium Self-Refining Trees","arXiv:2503.19309","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\MC_NEST_2025.md"
"systems","Medea_2026.md","Medea: An Omics AI Agent for Therapeutic Discovery","bioRxiv / PMC preprint, doi:10.64898/2026.01.16.696667","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Medea_2026.md"
"systems","MOSAIC_Chemical_Synthesis_2026.md","Collective Intelligence for AI-Assisted Chemical Synthesis","Nature, doi:10.1038/s41586-026-10131-4","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\MOSAIC_Chemical_Synthesis_2026.md"
"systems","OpenAI_Unit_Distance_2026.md","Planar Point Sets with Many Unit Distances","OpenAI proof PDF; OpenAI remarks PDF; Nature News doi:10.1038/d41586-026-01651-0","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\OpenAI_Unit_Distance_2026.md"
"systems","Rainbow_Perovskite_2025.md","Autonomous Multi-Robot Synthesis and Optimization of Metal Halide Perovskite Nanocrystals","Nature Communications, doi:10.1038/s41467-025-63209-4","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Rainbow_Perovskite_2025.md"
"systems","ResearchAgent_2025.md","ResearchAgent: Iterative Research Idea Generation over Scientific Literature with Large Language Models","arXiv:2404.07738v2","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\ResearchAgent_2025.md"
"systems","Robin_2026.md","A multi-agent system for automating scientific discovery","Nature, doi:10.1038/s41586-026-10652-y; arXiv:2505.13400","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Robin_2026.md"
"systems","RoboChem_Flex_2026.md","A Flexible and Affordable Self-Driving Laboratory for Automated Reaction Optimization","Nature Synthesis, doi:10.1038/s44160-026-01053-0","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\RoboChem_Flex_2026.md"
"systems","Robot_Scientist_2004.md","Functional Genomic Hypothesis Generation and Experimentation by a Robot Scientist","Nature, doi:10.1038/nature02236","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Robot_Scientist_2004.md"
"systems","SciNav_2026.md","SciNav: A General Agent Framework for Scientific Coding Tasks","arXiv:2603.20256","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\SciNav_2026.md"
"systems","SciToolAgent_2025.md","SciToolAgent: A Knowledge Graph-Driven Scientific Agent for Multi-Tool Integration","Nature Computational Science, doi:10.1038/s43588-025-00849-y; arXiv:2507.20280","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\SciToolAgent_2025.md"
"systems","SkillOS_2026.md","SkillOS: Learning Skill Curation for Self-Evolving Agents","arXiv:2605.06614v1","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\SkillOS_2026.md"
"systems","SPARK_Cancer_Pathology_2026.md","An Agentic Framework for Autonomous Scientific Discovery in Cancer Pathology","Nature Medicine, doi:10.1038/s41591-026-04357-y","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\SPARK_Cancer_Pathology_2026.md"
"systems","SSL_2026.md","From Skill Text to Skill Structure: The Scheduling-Structural-Logical Representation for Agent Skills","arXiv:2604.24026v4","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\SSL_2026.md"
"systems","STELLA_2025.md","STELLA: Self-Evolving LLM Agent for Biomedical Research","arXiv:2507.02004","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\STELLA_2025.md"
"systems","TianJi_2026.md","TianJi: An Autonomous AI Meteorologist for Discovering Physical Mechanisms in Atmospheric Science","arXiv:2603.27738","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\TianJi_2026.md"
"systems","Virtual_Lab_2025.md","The Virtual Lab of AI agents designs new SARS-CoV-2 nanobodies","Nature, doi:10.1038/s41586-025-09442-9","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Virtual_Lab_2025.md"
"verification","AI_Responsible_Publishing_2026.md","Using AI Responsibly in Scientific Publishing","Nature Methods, doi:10.1038/s41592-026-03020-1","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\verification\AI_Responsible_Publishing_2026.md"
"verification","Hidden_Prompts_Peer_Review_2025.md","Hidden Prompts in Manuscripts Exploit AI-Assisted Peer Review","arXiv:2507.06185","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\verification\Hidden_Prompts_Peer_Review_2025.md"
"verification","LLM_Verifier_2025.md","LLM-as-a-Verifier: A General-Purpose Verification Framework","https://github.com/llm-as-a-verifier/llm-as-a-verifier","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\verification\LLM_Verifier_2025.md"
"verification","OpenScholar_2025.md","OpenScholar: Synthesizing Scientific Literature with Retrieval-augmented LMs","Nature (doi:10.1038/s41586-025-10072-4), arXiv: 2411.14199; https://openscilm.allen.ai/","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\verification\OpenScholar_2025.md"
"verification","Risks_AI_Scientists_2025.md","Risks of AI Scientists: Prioritizing Safeguarding Over Autonomy","Nature Communications, doi:10.1038/s41467-025-63913-1; arXiv:2402.04247v5","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\verification\Risks_AI_Scientists_2025.md"
"verification","SafeScientist_2025.md","SafeScientist: Toward Risk-Aware Scientific Discoveries by LLM Agents","arXiv:2505.23559","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\verification\SafeScientist_2025.md"
"verification","SciVer_2025.md","SCIVER: Evaluating Foundation Models for Multimodal Scientific Claim Verification","ACL 2025 Long Papers; https://aclanthology.org/2025.acl-long.420/","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\verification\SciVer_2025.md"
"verification","SPOT_A_2025.md","When AI Co-Scientists Fail: SPOT-a Benchmark for Automated Verification of Scientific Research","arXiv:2505.11855","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\verification\SPOT_A_2025.md"
"verification","Stanford_Human_Study_2024.md","Can LLMs Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers","arXiv:2409.04109 (NeurIPS 2024)","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\verification\Stanford_Human_Study_2024.md"
"systems","Science_Earth_2026.md","Science Earth: Towards A Planet-Scale Operating System for AI-Native Scientific Discovery","arXiv:2606.01316v1","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Science_Earth_2026.md"
"systems","Mimosa_2026.md","Mimosa Framework: Toward Evolving Multi-Agent Systems for Scientific Research","arXiv:2603.28986","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Mimosa_2026.md"
"systems","OR_Agent_2026.md","OR-Agent: Bridging Evolutionary Search and Structured Research for Automated Algorithm Discovery","arXiv:2602.13769","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\OR_Agent_2026.md"
"systems","SciDER_2026.md","SciDER: Scientific Data-centric End-to-end Researcher","arXiv:2603.01421","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\SciDER_2026.md"
"systems","AScience_ASCollab_2025.md","Hypothesis Hunting with Evolving Networks of Autonomous Scientific Agents","arXiv:2510.08619","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AScience_ASCollab_2025.md"
"systems","OmniScientist_2025.md","OmniScientist: Toward a Co-evolving Ecosystem of Human and AI Scientists","arXiv:2511.16931","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\OmniScientist_2025.md"
"systems","SAGA_2025.md","Accelerating Scientific Discovery with Autonomous Goal-evolving Agents","arXiv:2512.21782","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\SAGA_2025.md"
"systems","PANGAEA_GPT_2026.md","A Hierarchical Multi-Agent System for Autonomous Discovery in Geoscientific Data Archives","arXiv:2602.21351","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\PANGAEA_GPT_2026.md"
"systems","Code2Math_2026.md","Code2Math: Can Your Code Agent Effectively Evolve Math Problems Through Exploration?","arXiv:2603.03202","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\Code2Math_2026.md"
"systems","PaperOrchestra_2026.md","PaperOrchestra: A Multi-Agent Framework for Automated AI Research Paper Writing","arXiv:2604.05018","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\PaperOrchestra_2026.md"
"systems","AtomAgents_2025.md","AtomAgents: Alloy design and discovery through physics-aware multi-modal multi-agent artificial intelligence","PNAS 2025, doi:10.1073/pnas.2414074122; arXiv:2407.10022","C:\Users\20683\Desktop\综述\Scientific Discovery by Agents\Notes\systems\AtomAgents_2025.md"
