paper_id,title,active_confirmed_core,inclusion_status,scientific_object_modules,general_method_bucket,object_coverage_mode,primary_module_for_filing,primary_module_label,legacy_main_class,legacy_secondary_class,proposed_primary_taxonomy_code_2lvl,secondary_term_in_index,secondary_term_label,secondary_term_status,secondary_term_review_status,proposed_assignment_status,pending_reason,proposed_discipline_local_code,discipline_local_rank,source_limited,pdf_status,evidence_status,note_path,pdf_path,review_flags
ASD-0029,Chemhas: Hierarchical agent stacking for enhancing chemistry tools,True,to_read,03,none,single_module,03,Chemical Sciences,03,03.04,03.04,True,Legacy secondary filing term 03.04,needs_review,unreviewed,active_code,,03-04-007,007,no,archived_pdf,first_hand_full_text,Notes/03_Chemical_Sciences/Li_2025_ChemHAS.md,Reference_PDF/03_Chemical_Sciences/Li_2025_ChemHAS.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0030,Rag-enhanced collaborative llm agents for drug discovery,True,to_read,03;07,none,multi_module,07,Medical and Health Sciences,07,07.04,07.04,True,Legacy secondary filing term 07.04,needs_review,unreviewed,active_code,,07-04-006,006,no,archived_pdf,first_hand_full_text,Notes/07_Medical_and_Health_Sciences/Lee_2025_CLADD.md,Reference_PDF/07_Medical_and_Health_Sciences/Lee_2025_CLADD.pdf,multi_module;secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0031,Llmatdesign: Autonomous materials discovery with large language models,True,to_read,04,none,single_module,04,Materials Science,04,04.04,04.04,True,Legacy secondary filing term 04.04,needs_review,unreviewed,active_code,,04-04-005,005,no,archived_pdf,first_hand_full_text,Notes/04_Materials_Science/Jia_2024_LLMatDesign.md,Reference_PDF/04_Materials_Science/Jia_2024_LLMatDesign.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0032,Codescientist: End-to-end semi-automated scientific discovery with code-based experimentation,True,to_read,01,none,single_module,01,"Formal, Information and Computational Sciences",01,01.04,01.04,True,Legacy secondary filing term 01.04,needs_review,unreviewed,active_code,,01-04-005,005,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/Jansen_2025_CodeScientist.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Jansen_2025_CodeScientist.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0033,Omnicellagent: Towards ai co-scientists for scientific discovery in precision medicine,True,to_read,06,none,single_module,06,Life Sciences,06,06.03,06.03,True,Legacy secondary filing term 06.03,needs_review,unreviewed,active_code,,06-03-003,003,no,archived_pdf,first_hand_html_full_text,Notes/06_Life_Sciences/Huang_2025_OmniCellAgent.md,Reference_PDF/06_Life_Sciences/Huang_2025_OmniCellAgent.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0034,Perturboagent: A self-planning agent for boosting sequential perturb-seq experiments,True,to_read,06,none,single_module,06,Life Sciences,06,06.03,06.03,True,Legacy secondary filing term 06.03,needs_review,unreviewed,active_code,,06-03-004,004,no,archived_pdf,first_hand_pdf_checked,Notes/06_Life_Sciences/Hao_2025_PerTurboAgent.md,Reference_PDF/06_Life_Sciences/Hao_2025_PerTurboAgent.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0035,Sciagents: automating scientific discovery through bioinspired multi-agent intelligent graph reasoning,True,to_read,04,none,single_module,04,Materials Science,04,04.04,04.04,True,Legacy secondary filing term 04.04,needs_review,unreviewed,active_code,,04-04-006,006,no,archived_pdf,first_hand_pdf_checked,Notes/04_Materials_Science/Ghafarollahi_2025_SciAgents.md,Reference_PDF/04_Materials_Science/Ghafarollahi_2025_SciAgents.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0036,Organa: A robotic assistant for automated chemistry experimentation and characterization,True,to_read,03,none,single_module,03,Chemical Sciences,03,03.03,03.03,True,Legacy secondary filing term 03.03,needs_review,unreviewed,active_code,,03-03-001,001,no,archived_pdf,first_hand_full_text,Notes/03_Chemical_Sciences/Darvish_2024_Organa.md,Reference_PDF/03_Chemical_Sciences/Darvish_2024_Organa.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0037,Autonomous mobile robots for exploratory synthetic chemistry,True,to_read,03,none,single_module,03,Chemical Sciences,03,03.03,03.03,True,Legacy secondary filing term 03.03,needs_review,unreviewed,active_code,,03-03-002,002,no,archived_pdf,first_hand_html_full_text,Notes/03_Chemical_Sciences/Dai_2024_Autonomous_Mobile_Robots.md,Reference_PDF/03_Chemical_Sciences/Dai_2024_Autonomous_Mobile_Robots.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0038,An autonomous large language model agent for chemical literature data mining,True,to_read,03,none,single_module,03,Chemical Sciences,03,03.04,03.04,True,Legacy secondary filing term 03.04,needs_review,unreviewed,active_code,,03-04-008,008,no,archived_pdf,first_hand_full_text,Notes/03_Chemical_Sciences/Chen_2024_Chemical_Literature_Data_Mining_Agent.md,Reference_PDF/03_Chemical_Sciences/Chen_2024_Chemical_Literature_Data_Mining_Agent.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0040,"Researchagent: Iterative research idea generation over scientific literature with large language models, 2025",True,to_read,,01.04_general_asd_methods_without_concrete_object_experiments,general_method_without_concrete_object_experiments,,,01,01.04,,True,Legacy secondary filing term 01.04,needs_review,unreviewed,non_discipline_general_method,,,,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/Baek_2025_ResearchAgent.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Baek_2025_ResearchAgent.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0041,Liddia: Language-based intelligent drug discovery agent,True,to_read,07,none,single_module,07,Medical and Health Sciences,07,07.04,07.04,True,Legacy secondary filing term 07.04,needs_review,unreviewed,active_code,,07-04-007,007,no,archived_pdf,first_hand_full_text,Notes/07_Medical_and_Health_Sciences/Averly_2025_LIDDIA.md,Reference_PDF/07_Medical_and_Health_Sciences/Averly_2025_LIDDIA.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0044,Bridging literature and the universe via a multi-agent large language model system,True,to_read,02,none,single_module,02,"Physics, Astronomy and Cosmic Sciences",02,02.01,02.01,True,Legacy secondary filing term 02.01,needs_review,unreviewed,active_code,,02-01-001,001,no,archived_pdf,first_hand_full_text,Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Zhang_2025_SimAgents.md,Reference_PDF/02_Physics_Astronomy_and_Cosmic_Sciences/Zhang_2025_SimAgents.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0045,Honeycomb: A flexible llm-based agent system for materials science,True,to_read,04,none,single_module,04,Materials Science,04,04.04,04.04,True,Legacy secondary filing term 04.04,needs_review,unreviewed,active_code,,04-04-007,007,no,archived_pdf,first_hand_full_text,Notes/04_Materials_Science/Zhang_2024_HoneyComb.md,Reference_PDF/04_Materials_Science/Zhang_2024_HoneyComb.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0046,Topomas: Large language model driven topological materials multiagent system,True,to_read,04,none,single_module,04,Materials Science,04,04.04,04.04,True,Legacy secondary filing term 04.04,needs_review,unreviewed,active_code,,04-04-008,008,no,archived_pdf,first_hand_full_text,Notes/04_Materials_Science/Zhang_2025_TopoMAS.md,Reference_PDF/04_Materials_Science/Zhang_2025_TopoMAS.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0047,Foam-agent: Towards automated intelligent cfd workflows,True,to_read,09,none,single_module,09,Engineering and Industrial Technology Sciences,09,09.01,09.01,True,Legacy secondary filing term 09.01,needs_review,unreviewed,active_code,,09-01-001,001,no,archived_pdf,first_hand_full_text,Notes/09_Engineering_and_Industrial_Technology_Sciences/Yue_2025_Foam_Agent.md,Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/Yue_2025_Foam_Agent.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0048,"Dolphin: Closed-loop open-ended auto-research through thinking, practice, and feedback",True,to_read,01,none,single_module,01,"Formal, Information and Computational Sciences",01,01.04,01.04,True,Legacy secondary filing term 01.04,needs_review,unreviewed,active_code,,01-04-006,006,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/Yuan_2025_Dolphin.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Yuan_2025_Dolphin.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0049,Bioinformatics agent (bia): Unleashing the power of large language models to reshape bioinformatics workflow,True,to_read,06,none,single_module,06,Life Sciences,06,06.03,06.03,True,Legacy secondary filing term 06.03,needs_review,unreviewed,active_code,,06-03-005,005,no,archived_pdf,first_hand_full_text,Notes/06_Life_Sciences/Xin_2024_BIA.md,Reference_PDF/06_Life_Sciences/Xin_2024_BIA.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0051,Geneagent: Self-verification language agent for gene set knowledge discovery using domain databases,True,to_read,06,none,single_module,06,Life Sciences,06,06.03,06.03,True,Legacy secondary filing term 06.03,needs_review,unreviewed,active_code,,06-03-006,006,no,archived_pdf,first_hand_full_text,Notes/06_Life_Sciences/Wang_2024_GeneAgent.md,Reference_PDF/06_Life_Sciences/Wang_2024_GeneAgent.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0052,Optimizing collaboration of large language model based agents for autonomous finite element analysis,True,to_read,09,none,single_module,09,Engineering and Industrial Technology Sciences,09,09.01,09.01,True,Legacy secondary filing term 09.01,needs_review,unreviewed,active_code,,09-01-002,002,no,archived_pdf,first_hand_full_text,Notes/09_Engineering_and_Industrial_Technology_Sciences/Tian_2025_Autonomous_Finite_Element_Analysis.md,Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/Tian_2025_Autonomous_Finite_Element_Analysis.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0053,Towards autonomous hypothesis verification via language models with minimal guidance,True,to_read,,01.04_general_asd_methods_without_concrete_object_experiments,general_method_without_concrete_object_experiments,,,01,01.04,,True,Legacy secondary filing term 01.04,needs_review,unreviewed,non_discipline_general_method,,,,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/Takagi_2023_Autonomous_Hypothesis_Verification.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Takagi_2023_Autonomous_Hypothesis_Verification.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0054,The virtual lab: Ai agents design new sars-cov-2 nanobodies with experimental validation,True,to_read,07;06,none,multi_module,07,Medical and Health Sciences,07,07.04,07.04,True,Legacy secondary filing term 07.04,needs_review,unreviewed,active_code,,07-04-008,008,no,archived_pdf,first_hand_html_full_text,Notes/07_Medical_and_Health_Sciences/Swanson_2025_Virtual_Lab_Nanobodies.md,Reference_PDF/07_Medical_and_Health_Sciences/Swanson_2025_Virtual_Lab_Nanobodies.pdf,multi_module;secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0055,Biomaster: Multi-agent system for automated bioinformatics analysis workflow,True,to_read,06,none,single_module,06,Life Sciences,06,06.03,06.03,True,Legacy secondary filing term 06.03,needs_review,unreviewed,active_code,,06-03-007,007,no,archived_pdf,first_hand_full_text,Notes/06_Life_Sciences/Su_2025_BioMaster.md,Reference_PDF/06_Life_Sciences/Su_2025_BioMaster.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0056,"Delocalized, asynchronous, closed-loop discovery of organic laser emitters",True,to_read,03;04,none,multi_module,03,Chemical Sciences,03,03.04,03.04,True,Legacy secondary filing term 03.04,needs_review,unreviewed,active_code,,03-04-009,009,no,archived_pdf,first_hand_full_text,Notes/03_Chemical_Sciences/StriethKalthoff_2024_Organic_Laser_Emitters.md,Reference_PDF/03_Chemical_Sciences/StriethKalthoff_2024_Organic_Laser_Emitters.pdf,multi_module;secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0057,"Autochemschematic ai: A closed-loop, physics-aware agentic framework for auto-generating chemical process and instrumentation diagrams",True,to_read,09,none,single_module,09,Engineering and Industrial Technology Sciences,09,09.04,09.04,True,Legacy secondary filing term 09.04,needs_review,unreviewed,active_code,,09-04-001,001,no,archived_pdf,first_hand_full_text,Notes/09_Engineering_and_Industrial_Technology_Sciences/Srinivas_2025_AutoChemSchematic_AI.md,Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/Srinivas_2025_AutoChemSchematic_AI.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0058,Astroagents: A multi-agent ai for hypothesis generation from mass spectrometry data,True,to_read,02,none,single_module,02,"Physics, Astronomy and Cosmic Sciences",02,02.01,02.01,True,Legacy secondary filing term 02.01,needs_review,unreviewed,active_code,,02-01-002,002,no,archived_pdf,first_hand_full_text,Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Saeedi_2025_AstroAgents.md,Reference_PDF/02_Physics_Astronomy_and_Cosmic_Sciences/Saeedi_2025_AstroAgents.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0059,"Iterative hypothesis generation for scientific discovery with monte carlo nash equilibrium self-refining trees, 2025",True,to_read,,01.04_general_asd_methods_without_concrete_object_experiments,general_method_without_concrete_object_experiments,,,01,01.04,,True,Legacy secondary filing term 01.04,needs_review,unreviewed,non_discipline_general_method,,,,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/Rabby_2025_MC_NEST.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Rabby_2025_MC_NEST.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0060,Piflow: Principle-aware scientific discovery with multi-agent collaboration,True,to_read,03;04;07,none,multi_module,04,Materials Science,01,01.04,,True,Legacy secondary filing term 01.04,needs_review,unreviewed,pending_secondary,secondary_primary_mismatch,,,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/Pu_2026_PiFlow.md,Reference_PDF/04_Materials_Science/Pu_2025_PiFlow.pdf,multi_module;secondary_term_status_needs_review;secondary_term_review_unreviewed;secondary_primary_mismatch
ASD-0061,xchemagents: Agentic ai for explainable quantum chemistry,True,to_read,03,none,single_module,03,Chemical Sciences,03,03.04,03.04,True,Legacy secondary filing term 03.04,needs_review,unreviewed,active_code,,03-04-010,010,no,archived_pdf,first_hand_full_text,Notes/03_Chemical_Sciences/Polat_2025_xChemAgents.md,Reference_PDF/03_Chemical_Sciences/Polat_2025_xChemAgents.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0062,Empowering scientific workflows with federated agents,True,to_read,01;02;04,none,multi_module,01,"Formal, Information and Computational Sciences",01,01.04,01.04,True,Legacy secondary filing term 01.04,needs_review,unreviewed,active_code,,01-04-007,007,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/Pauloski_2026_Federated_Agents.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Pauloski_2025_Federated_Agents.pdf,multi_module;secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0063,Alphaevolve: A coding agent for scientific and algorithmic discovery,True,to_read,01,none,single_module,01,"Formal, Information and Computational Sciences",01,01.02,01.02,True,Legacy secondary filing term 01.02,needs_review,unreviewed,active_code,,01-02-001,001,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/Novikov_2025_AlphaEvolve.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Novikov_2025_AlphaEvolve.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0064,Phenograph: A multi-agent framework for phenotype-driven discovery in spatial transcriptomics data augmented with knowledge graphs,True,to_read,06;07,none,multi_module,06,Life Sciences,06,06.03,06.03,True,Legacy secondary filing term 06.03,needs_review,unreviewed,active_code,,06-03-008,008,no,archived_pdf,first_hand_full_text,Notes/06_Life_Sciences/Niyakan_2025_PhenoGraph.md,Reference_PDF/06_Life_Sciences/Niyakan_2025_PhenoGraph.pdf,multi_module;secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0065,Matpilot: an llm-enabled ai materials scientist under the framework of human-machine collaboration,True,to_read,04,none,single_module,04,Materials Science,04,04.04,04.04,True,Legacy secondary filing term 04.04,needs_review,unreviewed,active_code,,04-04-009,009,no,archived_pdf,first_hand_full_text,Notes/04_Materials_Science/Ni_2024_MatPilot.md,Reference_PDF/04_Materials_Science/Ni_2024_MatPilot.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
