paper_id,assignment_id,discipline_local_code,discipline_local_rank,discipline_display_order,assignment_status,assigned_at,assigned_by,retired_at,redirected_to_code,assignment_reason,pending_reason,primary_module_for_filing,primary_module_confidence,primary_module_assignment_rule,primary_module_override_reason,primary_taxonomy_code_2lvl,legacy_secondary_class,secondary_class_source,secondary_class_confidence,secondary_class_review_status,scientific_object_modules,general_method_bucket,title,note_path,pdf_path,active_confirmed_core,is_derived_snapshot,generated_at,generated_by,source_commit,worktree_dirty
ASD-0012,DCA-000011,03-04-004,004,03-04-004,active_code,2026-07-05,codex,,,initial_assignment,,03,high,main_scientific_object,,03.04,03.04,legacy,low,unreviewed,03,none,Large language models for chemistry robotics,Notes/03_Chemical_Sciences/Yoshikawa_2023_Chemistry_Robotics_LLMs.md,Reference_PDF/03_Chemical_Sciences/Yoshikawa_2023_Chemistry_Robotics_LLMs.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0013,DCA-000012,01-04-002,002,01-04-002,active_code,2026-07-05,codex,,,initial_assignment,,01,high,main_scientific_object,,01.04,01.04,legacy,low,unreviewed,01,none,The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search,Notes/01_Formal_Information_and_Computational_Sciences/Yamada_2025_AI_Scientist_V2.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Yamada_2025_AI_Scientist_V2.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0014,DCA-000013,06-03-001,001,06-03-001,active_code,2026-07-05,codex,,,initial_assignment,,06,high,main_scientific_object,,06.03,06.03,legacy,low,unreviewed,06,none,Spatialagent: An autonomous ai agent for spatial biology,Notes/06_Life_Sciences/Wang_2025_SpatialAgent.md,Reference_PDF/06_Life_Sciences/Wang_2025_SpatialAgent.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0016,DCA-000014,04-04-004,004,04-04-004,active_code,2026-07-05,codex,,,initial_assignment,,04,high,main_scientific_object,,04.04,04.04,legacy,low,unreviewed,04,none,An autonomous laboratory for the accelerated synthesis of novel materials,Notes/04_Materials_Science/Szymanski_2023_A_Lab.md,Reference_PDF/04_Materials_Science/Szymanski_2023_A_Lab.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0017,DCA-000015,07-04-003,003,07-04-003,active_code,2026-07-05,codex,,,initial_assignment,,07,high,main_scientific_object,,07.04,07.04,legacy,low,unreviewed,07,none,Can ai agents design and implement drug discovery pipelines?,Notes/07_Medical_and_Health_Sciences/Smbatyan_2025_DO_Challenge.md,Reference_PDF/07_Medical_and_Health_Sciences/Smbatyan_2025_DO_Challenge.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0018,DCA-000016,01-04-003,003,01-04-003,active_code,2026-07-05,codex,,,initial_assignment,,01,high,main_scientific_object,,01.04,01.04,legacy,low,unreviewed,01,none,Agent laboratory: Using llm agents as research assistants,Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_Agent_Laboratory.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_Agent_Laboratory.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0019,DCA-000017,01-04-004,004,01-04-004,active_code,2026-07-05,codex,,,initial_assignment,,01,high,main_scientific_object,,01.04,01.04,legacy,low,unreviewed,01,none,Agentrxiv: Towards collaborative autonomous research,Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_AgentRxiv.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_AgentRxiv.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0020,DCA-000018,06-03-002,002,06-03-002,active_code,2026-07-05,codex,,,initial_assignment,,06,high,main_scientific_object,,06.03,06.03,legacy,low,unreviewed,06,none,Biodiscoveryagent: An ai agent for designing genetic perturbation experiments,Notes/06_Life_Sciences/Roohani_2024_BioDiscoveryAgent.md,Reference_PDF/06_Life_Sciences/Roohani_2024_BioDiscoveryAgent.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0022,DCA-000019,03-04-005,005,03-04-005,active_code,2026-07-05,codex,,,initial_assignment,,03,high,main_scientific_object,,03.04,03.04,legacy,low,unreviewed,03,none,Chemgraph: An agentic framework for computational chemistry workflows,Notes/03_Chemical_Sciences/Pham_2025_ChemGraph.md,Reference_PDF/03_Chemical_Sciences/Pham_2025_ChemGraph.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0024,DCA-000020,07-04-004,004,07-04-004,active_code,2026-07-05,codex,,,initial_assignment,,07,medium,manual_override,structured_remark_primary_module_for_filing,07.04,07.04,legacy,low,unreviewed,07;03,none,Large language model agent for modular task execution in drug discovery,Notes/07_Medical_and_Health_Sciences/Ock_2025_AgentD.md,Reference_PDF/07_Medical_and_Health_Sciences/Ock_2025_AgentD.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0025,DCA-000021,03-04-006,006,03-04-006,active_code,2026-07-05,codex,,,initial_assignment,,03,high,main_scientific_object,,03.04,03.04,legacy,low,unreviewed,03,none,Cactus: Chemistry agent connecting tool usage to science,Notes/03_Chemical_Sciences/McNaughton_2024_CACTUS.md,Reference_PDF/03_Chemical_Sciences/McNaughton_2024_CACTUS.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0028,DCA-000022,07-04-005,005,07-04-005,active_code,2026-07-05,codex,,,initial_assignment,,07,high,main_scientific_object,,07.04,07.04,legacy,low,unreviewed,07,none,Drugagent: Automating ai-aided drug discovery programming through llm multi-agent collaboration,Notes/07_Medical_and_Health_Sciences/Liu_2024_DrugAgent.md,Reference_PDF/07_Medical_and_Health_Sciences/Liu_2024_DrugAgent.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0029,DCA-000023,03-04-007,007,03-04-007,active_code,2026-07-05,codex,,,initial_assignment,,03,high,main_scientific_object,,03.04,03.04,legacy,low,unreviewed,03,none,Chemhas: Hierarchical agent stacking for enhancing chemistry tools,Notes/03_Chemical_Sciences/Li_2025_ChemHAS.md,Reference_PDF/03_Chemical_Sciences/Li_2025_ChemHAS.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0030,DCA-000024,07-04-006,006,07-04-006,active_code,2026-07-05,codex,,,initial_assignment,,07,medium,manual_override,structured_remark_primary_module_for_filing,07.04,07.04,legacy,low,unreviewed,03;07,none,Rag-enhanced collaborative llm agents for drug discovery,Notes/07_Medical_and_Health_Sciences/Lee_2025_CLADD.md,Reference_PDF/07_Medical_and_Health_Sciences/Lee_2025_CLADD.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0031,DCA-000025,04-04-005,005,04-04-005,active_code,2026-07-05,codex,,,initial_assignment,,04,high,main_scientific_object,,04.04,04.04,legacy,low,unreviewed,04,none,Llmatdesign: Autonomous materials discovery with large language models,Notes/04_Materials_Science/Jia_2024_LLMatDesign.md,Reference_PDF/04_Materials_Science/Jia_2024_LLMatDesign.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0032,DCA-000026,01-04-005,005,01-04-005,active_code,2026-07-05,codex,,,initial_assignment,,01,high,main_scientific_object,,01.04,01.04,legacy,low,unreviewed,01,none,Codescientist: End-to-end semi-automated scientific discovery with code-based experimentation,Notes/01_Formal_Information_and_Computational_Sciences/Jansen_2025_CodeScientist.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Jansen_2025_CodeScientist.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0033,DCA-000027,06-03-003,003,06-03-003,active_code,2026-07-05,codex,,,initial_assignment,,06,high,main_scientific_object,,06.03,06.03,legacy,low,unreviewed,06,none,Omnicellagent: Towards ai co-scientists for scientific discovery in precision medicine,Notes/06_Life_Sciences/Huang_2025_OmniCellAgent.md,Reference_PDF/06_Life_Sciences/Huang_2025_OmniCellAgent.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0034,DCA-000028,06-03-004,004,06-03-004,active_code,2026-07-05,codex,,,initial_assignment,,06,high,main_scientific_object,,06.03,06.03,legacy,low,unreviewed,06,none,Perturboagent: A self-planning agent for boosting sequential perturb-seq experiments,Notes/06_Life_Sciences/Hao_2025_PerTurboAgent.md,Reference_PDF/06_Life_Sciences/Hao_2025_PerTurboAgent.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0035,DCA-000029,04-04-006,006,04-04-006,active_code,2026-07-05,codex,,,initial_assignment,,04,high,main_scientific_object,,04.04,04.04,legacy,low,unreviewed,04,none,Sciagents: automating scientific discovery through bioinspired multi-agent intelligent graph reasoning,Notes/04_Materials_Science/Ghafarollahi_2025_SciAgents.md,Reference_PDF/04_Materials_Science/Ghafarollahi_2025_SciAgents.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0036,DCA-000030,03-03-001,001,03-03-001,active_code,2026-07-05,codex,,,initial_assignment,,03,high,main_scientific_object,,03.03,03.03,legacy,low,unreviewed,03,none,Organa: A robotic assistant for automated chemistry experimentation and characterization,Notes/03_Chemical_Sciences/Darvish_2024_Organa.md,Reference_PDF/03_Chemical_Sciences/Darvish_2024_Organa.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0037,DCA-000031,03-03-002,002,03-03-002,active_code,2026-07-05,codex,,,initial_assignment,,03,high,main_scientific_object,,03.03,03.03,legacy,low,unreviewed,03,none,Autonomous mobile robots for exploratory synthetic chemistry,Notes/03_Chemical_Sciences/Dai_2024_Autonomous_Mobile_Robots.md,Reference_PDF/03_Chemical_Sciences/Dai_2024_Autonomous_Mobile_Robots.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0038,DCA-000032,03-04-008,008,03-04-008,active_code,2026-07-05,codex,,,initial_assignment,,03,high,main_scientific_object,,03.04,03.04,legacy,low,unreviewed,03,none,An autonomous large language model agent for chemical literature data mining,Notes/03_Chemical_Sciences/Chen_2024_Chemical_Literature_Data_Mining_Agent.md,Reference_PDF/03_Chemical_Sciences/Chen_2024_Chemical_Literature_Data_Mining_Agent.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0040,DCA-000033,,,GM-PENDING-ASD-0040,non_discipline_general_method,2026-07-05,codex,,,initial_assignment,,,,,,,01.04,legacy,low,unreviewed,,01.04_general_asd_methods_without_concrete_object_experiments,"Researchagent: Iterative research idea generation over scientific literature with large language models, 2025",Notes/01_Formal_Information_and_Computational_Sciences/Baek_2025_ResearchAgent.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Baek_2025_ResearchAgent.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0041,DCA-000034,07-04-007,007,07-04-007,active_code,2026-07-05,codex,,,initial_assignment,,07,high,main_scientific_object,,07.04,07.04,legacy,low,unreviewed,07,none,Liddia: Language-based intelligent drug discovery agent,Notes/07_Medical_and_Health_Sciences/Averly_2025_LIDDIA.md,Reference_PDF/07_Medical_and_Health_Sciences/Averly_2025_LIDDIA.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0044,DCA-000035,02-01-001,001,02-01-001,active_code,2026-07-05,codex,,,initial_assignment,,02,high,main_scientific_object,,02.01,02.01,legacy,low,unreviewed,02,none,Bridging literature and the universe via a multi-agent large language model system,Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Zhang_2025_SimAgents.md,Reference_PDF/02_Physics_Astronomy_and_Cosmic_Sciences/Zhang_2025_SimAgents.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0045,DCA-000036,04-04-007,007,04-04-007,active_code,2026-07-05,codex,,,initial_assignment,,04,high,main_scientific_object,,04.04,04.04,legacy,low,unreviewed,04,none,Honeycomb: A flexible llm-based agent system for materials science,Notes/04_Materials_Science/Zhang_2024_HoneyComb.md,Reference_PDF/04_Materials_Science/Zhang_2024_HoneyComb.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0046,DCA-000037,04-04-008,008,04-04-008,active_code,2026-07-05,codex,,,initial_assignment,,04,high,main_scientific_object,,04.04,04.04,legacy,low,unreviewed,04,none,Topomas: Large language model driven topological materials multiagent system,Notes/04_Materials_Science/Zhang_2025_TopoMAS.md,Reference_PDF/04_Materials_Science/Zhang_2025_TopoMAS.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0047,DCA-000038,09-01-001,001,09-01-001,active_code,2026-07-05,codex,,,initial_assignment,,09,high,main_scientific_object,,09.01,09.01,legacy,low,unreviewed,09,none,Foam-agent: Towards automated intelligent cfd workflows,Notes/09_Engineering_and_Industrial_Technology_Sciences/Yue_2025_Foam_Agent.md,Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/Yue_2025_Foam_Agent.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0048,DCA-000039,01-04-006,006,01-04-006,active_code,2026-07-05,codex,,,initial_assignment,,01,high,main_scientific_object,,01.04,01.04,legacy,low,unreviewed,01,none,"Dolphin: Closed-loop open-ended auto-research through thinking, practice, and feedback",Notes/01_Formal_Information_and_Computational_Sciences/Yuan_2025_Dolphin.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Yuan_2025_Dolphin.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0049,DCA-000040,06-03-005,005,06-03-005,active_code,2026-07-05,codex,,,initial_assignment,,06,high,main_scientific_object,,06.03,06.03,legacy,low,unreviewed,06,none,Bioinformatics agent (bia): Unleashing the power of large language models to reshape bioinformatics workflow,Notes/06_Life_Sciences/Xin_2024_BIA.md,Reference_PDF/06_Life_Sciences/Xin_2024_BIA.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0051,DCA-000041,06-03-006,006,06-03-006,active_code,2026-07-05,codex,,,initial_assignment,,06,high,main_scientific_object,,06.03,06.03,legacy,low,unreviewed,06,none,Geneagent: Self-verification language agent for gene set knowledge discovery using domain databases,Notes/06_Life_Sciences/Wang_2024_GeneAgent.md,Reference_PDF/06_Life_Sciences/Wang_2024_GeneAgent.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0052,DCA-000042,09-01-002,002,09-01-002,active_code,2026-07-05,codex,,,initial_assignment,,09,high,main_scientific_object,,09.01,09.01,legacy,low,unreviewed,09,none,Optimizing collaboration of large language model based agents for autonomous finite element analysis,Notes/09_Engineering_and_Industrial_Technology_Sciences/Tian_2025_Autonomous_Finite_Element_Analysis.md,Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/Tian_2025_Autonomous_Finite_Element_Analysis.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0053,DCA-000043,,,GM-PENDING-ASD-0053,non_discipline_general_method,2026-07-05,codex,,,initial_assignment,,,,,,,01.04,legacy,low,unreviewed,,01.04_general_asd_methods_without_concrete_object_experiments,Towards autonomous hypothesis verification via language models with minimal guidance,Notes/01_Formal_Information_and_Computational_Sciences/Takagi_2023_Autonomous_Hypothesis_Verification.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Takagi_2023_Autonomous_Hypothesis_Verification.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0054,DCA-000044,07-04-008,008,07-04-008,active_code,2026-07-05,codex,,,initial_assignment,,07,medium,manual_override,structured_remark_primary_module_for_filing,07.04,07.04,legacy,low,unreviewed,07;06,none,The virtual lab: Ai agents design new sars-cov-2 nanobodies with experimental validation,Notes/07_Medical_and_Health_Sciences/Swanson_2025_Virtual_Lab_Nanobodies.md,Reference_PDF/07_Medical_and_Health_Sciences/Swanson_2025_Virtual_Lab_Nanobodies.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0055,DCA-000045,06-03-007,007,06-03-007,active_code,2026-07-05,codex,,,initial_assignment,,06,high,main_scientific_object,,06.03,06.03,legacy,low,unreviewed,06,none,Biomaster: Multi-agent system for automated bioinformatics analysis workflow,Notes/06_Life_Sciences/Su_2025_BioMaster.md,Reference_PDF/06_Life_Sciences/Su_2025_BioMaster.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0056,DCA-000046,03-04-009,009,03-04-009,active_code,2026-07-05,codex,,,initial_assignment,,03,medium,manual_override,structured_remark_primary_module_for_filing,03.04,03.04,legacy,low,unreviewed,03;04,none,"Delocalized, asynchronous, closed-loop discovery of organic laser emitters",Notes/03_Chemical_Sciences/StriethKalthoff_2024_Organic_Laser_Emitters.md,Reference_PDF/03_Chemical_Sciences/StriethKalthoff_2024_Organic_Laser_Emitters.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0057,DCA-000047,09-04-001,001,09-04-001,active_code,2026-07-05,codex,,,initial_assignment,,09,high,main_scientific_object,,09.04,09.04,legacy,low,unreviewed,09,none,"Autochemschematic ai: A closed-loop, physics-aware agentic framework for auto-generating chemical process and instrumentation diagrams",Notes/09_Engineering_and_Industrial_Technology_Sciences/Srinivas_2025_AutoChemSchematic_AI.md,Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/Srinivas_2025_AutoChemSchematic_AI.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0058,DCA-000048,02-01-002,002,02-01-002,active_code,2026-07-05,codex,,,initial_assignment,,02,high,main_scientific_object,,02.01,02.01,legacy,low,unreviewed,02,none,Astroagents: A multi-agent ai for hypothesis generation from mass spectrometry data,Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Saeedi_2025_AstroAgents.md,Reference_PDF/02_Physics_Astronomy_and_Cosmic_Sciences/Saeedi_2025_AstroAgents.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0059,DCA-000049,,,GM-PENDING-ASD-0059,non_discipline_general_method,2026-07-05,codex,,,initial_assignment,,,,,,,01.04,legacy,low,unreviewed,,01.04_general_asd_methods_without_concrete_object_experiments,"Iterative hypothesis generation for scientific discovery with monte carlo nash equilibrium self-refining trees, 2025",Notes/01_Formal_Information_and_Computational_Sciences/Rabby_2025_MC_NEST.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Rabby_2025_MC_NEST.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0060,DCA-000050,,,04-ZZ-PENDING-ASD-0060,pending_secondary,2026-07-05,codex,,,initial_assignment,secondary_primary_mismatch,04,medium,manual_override,structured_remark_primary_module_for_filing,,01.04,legacy,low,unreviewed,03;04;07,none,Piflow: Principle-aware scientific discovery with multi-agent collaboration,Notes/01_Formal_Information_and_Computational_Sciences/Pu_2026_PiFlow.md,Reference_PDF/04_Materials_Science/Pu_2025_PiFlow.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
