paper_id	title	evidence_agent	note_path	current_authoritative_anchor	main_wording_risk	needs_note_revision	safe_for_note_only_landing	must_escalate_to_controller	short_reason	suggested_refresh_sections
ASD-0744	BioGAIP: A Scalable, User-Friendly and Robust LLM-Powered Multi-Agent System for Automated Bioinformatics Tasks	Evidence-Agent-B	Notes/06_Life_Sciences/Zhang_2026_BioGAIP_Bioinformatics.md	06;07	stale_single_module_and_source_state_conflict	yes	yes	no	the frozen top block is now 06;07 with source_limited=no, but older 06-only / source_limited=yes closure text remains	top harmonization override
ASD-0745	BioLab: End-to-End Autonomous Life Sciences Research with Multi-Agents System Integrating Biological Foundation Models	Evidence-Agent-B	Notes/06_Life_Sciences/Jin_2025_BioLab_Life_Sciences.md	06;07	stale_pdf_backed_source_state_conflict	yes	yes	no	the frozen top block is PDF-backed 06;07, but the older confirmed-core closure still says source_limited=yes and no local PDF	top harmonization override
ASD-0770	Progressive Multi-Agent Reasoning for Biological Perturbation Prediction	Evidence-Agent-B	Notes/06_Life_Sciences/Kim_2026_PBio_Agent_Perturbation_Biology.md	06;07	stale_single_module_and_source_state_conflict	yes	yes	no	the note still contains residual 06-only / source_limited wording under a newer 06;07 PDF-backed top block	top harmonization override
ASD-0030	Rag-enhanced collaborative llm agents for drug discovery	Evidence-Agent-B	Notes/07_Medical_and_Health_Sciences/Lee_2025_CLADD.md	03;07	note_aligned_low_risk	no	yes	no	current note already reads as included with stable 03;07 wording and no stale pending block	none
ASD-0113	PharmAgents: Building a virtual pharma with large language model agents	Evidence-Agent-B	Notes/07_Medical_and_Health_Sciences/Gao_2025_PharmAgents.md	07;03	stale_pending_status_metadata	yes	yes	no	the note already reflects the 07;03 adjudication, but top metadata still says to_read pending main-controller sync	top harmonization override
ASD-0254	From intention to implementation: automating biomedical research via llms	Evidence-Agent-B	Notes/01_Formal_Information_and_Computational_Sciences/Luo_2025_BioResearcher.md	06;07	stale_pending_status_and_legacy_0104_residue	yes	yes	no	the body already retires 01.04, but top metadata still reads to_read / confirmed core	top harmonization override
ASD-0531	GALILEO: Embodied AI scientist for autonomous therapeutic discovery in dynamic membrane systems	Evidence-Agent-B	Notes/07_Medical_and_Health_Sciences/Jiang_2026_GALILEO_Therapeutic_Discovery.md	06;07	stale_pdf_backed_source_state_conflict	yes	yes	no	Phase6FollowupR20 froze a local-PDF-backed 06;07 anchor, but older source_limited / no-local-PDF wording and to_read metadata remain	top harmonization override
ASD-0537	Medea: An omics AI agent for therapeutic discovery	Evidence-Agent-B	Notes/07_Medical_and_Health_Sciences/Sui_2026_Medea_Therapeutic_Discovery.md	06;07	note_aligned_low_risk	no	yes	no	current note already states it is read, included, full-text-backed, and no longer pending	none
ASD-0543	Machine Learning Copilot Agent: An LLM-Guided Workflow for Prognostic Gene Discovery	Evidence-Agent-B	Notes/06_Life_Sciences/Patel_2025_ML_Copilot_Prognostic_Gene_Discovery.md	06;07	stale_pdf_backed_source_state_conflict	yes	yes	no	the frozen top block is source_limited=no, but older safety-supported / source_limited=yes wording still dominates lower sections	top harmonization override
ASD-0545	IMMUNIA: A Multi-LLM Reasoning Agent for Immunoregulatory Surfaceome Discovery	Evidence-Agent-B	Notes/07_Medical_and_Health_Sciences/Park_2025_IMMUNIA_Surfaceome_Discovery.md	06;07	stale_pdf_backed_source_state_conflict	yes	yes	no	the frozen top block is PDF-backed and non-source-limited, but the body still foregrounds the older safety-supported abstract-only closure	top harmonization override
ASD-0548	OpenScientist: evaluating an open agentic AI co-scientist to accelerate biomedical discovery	Evidence-Agent-C	Notes/07_Medical_and_Health_Sciences/Roberts_2026_OpenScientist_Biomedical_Discovery.md	06;07	stale_pending_status_metadata	yes	yes	no	stable 06;07 wording exists, but top metadata still reads to_read	top harmonization override
ASD-0554	BioAgent: An Auditable Multi-Agent Framework for Reproducible Translational Bioinformatics	Evidence-Agent-C	Notes/01_Formal_Information_and_Computational_Sciences/Rahim_2026_BioAgent_Reproducible_Translational_Bioinformatics.md	06;07	stale_pending_status_legacy_0104_and_source_state_conflict	yes	yes	no	the note already retires 01.04 below, but top metadata still reads to_read and older source_limited=yes language survives	top harmonization override
ASD-0679	Rhizome OS-1: Rhizome's Semi-Autonomous Operating System for Small Molecule Drug Discovery	Evidence-Agent-C	Notes/07_Medical_and_Health_Sciences/Wang_2026_Rhizome_OS_1.md	03;07	stale_pending_status_metadata	yes	yes	no	the note already states stable 03;07 drug-discovery coverage, but top metadata still reads to_read	top harmonization override
ASD-0715	BioDisco: Multi-agent hypothesis generation with dual-mode evidence, iterative feedback and temporal evaluation	Evidence-Agent-C	Notes/07_Medical_and_Health_Sciences/Ke_2025_BioDisco.md	06;07	stale_pending_status_metadata	yes	yes	no	the current 06;07 wording is already present, but top metadata and 9.3 still say to_read	top harmonization override
ASD-0817	Probe Before You Edit: Probing-Guided Molecular Optimization for LLM Agents in Structure-Based Drug Design	Evidence-Agent-C	Notes/07_Medical_and_Health_Sciences/Yang_2026_PROBE_Structure_Based_Drug_Design.md	03;07	stale_pending_status_metadata	yes	yes	no	the frozen 03;07 note is stable, but top metadata still reads to_read	top harmonization override
ASD-0820	Reinforcement Learning with LLM-Guided Action Spaces for Synthesizable Lead Optimization	Evidence-Agent-C	Notes/03_Chemical_Sciences/Li_2026_MolReAct_Lead_Optimization.md	03;07	stale_pending_status_metadata	yes	yes	no	the note already explains the 03;07 / filing=07 anchor, but top metadata still stays at to_read	top harmonization override
ASD-0822	Contextual Invertible World Models: A Neuro-Symbolic Agentic Framework for Colorectal Cancer Drug Response	Evidence-Agent-C	Notes/07_Medical_and_Health_Sciences/Baker_2026_CIWM_CRC_Drug_Response.md	06;07	stale_pending_status_metadata	yes	yes	no	the note already states the frozen 06;07 anchor with local PDF, but top metadata still reads to_read	top harmonization override
ASD-0826	ToolMol: Evolutionary Agentic Framework for Multi-objective Drug Discovery	Evidence-Agent-C	Notes/07_Medical_and_Health_Sciences/Zhou_2026_ToolMol.md	03;07	stale_pending_status_metadata	yes	yes	no	the note is already aligned to 03;07, but top metadata still says to_read	top harmonization override
ASD-0866	Accelerating Scientific Discovery with Autonomous Goal-evolving Agents	Evidence-Agent-C	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2025_SAGA.md	03;04;06;07;09	stale_pending_status_metadata	yes	yes	no	the note already presents the five-module anchor, but top metadata still reads to_read	top harmonization override
ASD-0782	CFDagent: A Language-Guided, Zero-Shot Multi-Agent System for Complex Flow Simulation	Evidence-Agent-C	Notes/09_Engineering_and_Industrial_Technology_Sciences/Xu_2025_CFDagent.md	02;09	stale_pending_status_and_conservative_hold_drift	yes	yes	no	the note already lands 02;09 and retires conservative-hold reasoning, but top metadata still reads to_read	top harmonization override
