module_code	paper_id	title	evidence_agent	note_path	recommended_section_role	current_evidence_anchor	drafting_readiness	needs_note_refresh	short_reason	suggested_section_use
04	ASD-0046	Topomas: Large language model driven topological materials multiagent system	Evidence-Agent-B	Notes/04_Materials_Science/Zhang_2025_TopoMAS.md	exemplar	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	exemplar
05	ASD-0653	Earth-Agent: Unlocking the Full Landscape of Earth Observation with Agents	Evidence-Agent-C	Notes/05_Earth_and_Environmental_Sciences/Feng_2025_Earth_Agent.md	anchor	first_hand_full_text	ready_with_note_drift	yes	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.	anchor
05	ASD-0662	Mimosa Framework: Toward Evolving Multi-Agent Systems for Scientific Research	Evidence-Agent-C	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_Mimosa_Framework.md	anchor	first_hand_full_text	ready_with_note_drift	yes	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.	anchor
05	ASD-0691	OASIS: Onboard Autonomous Science Investigation System for Opportunistic Rover Science	Evidence-Agent-C	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Castano_2007_OASIS_Rover_Science.md	boundary	first_hand_full_text	ready_with_note_drift	yes	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.	boundary
05	ASD-0693	Enabling Onboard Detection of Events of Scientific Interest for the Europa Clipper Spacecraft	Evidence-Agent-C	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Wagstaff_2019_Europa_Clipper_Onboard_Detection.md	boundary	first_hand_full_text	ready_with_note_drift	yes	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.	boundary
05	ASD-0696	AEGIS Automated Science Targeting for the MER Opportunity Rover	Evidence-Agent-C	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Estlin_2012_AEGIS_Opportunity_Rover.md	boundary	first_hand_full_text	ready_with_note_drift	yes	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.	boundary
06	ASD-0014	Spatialagent: An autonomous ai agent for spatial biology	Evidence-Agent-C	Notes/06_Life_Sciences/Wang_2025_SpatialAgent.md	anchor	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	anchor
06	ASD-0020	Biodiscoveryagent: An ai agent for designing genetic perturbation experiments	Evidence-Agent-C	Notes/06_Life_Sciences/Roohani_2024_BioDiscoveryAgent.md	anchor	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	anchor
06	ASD-0033	Omnicellagent: Towards ai co-scientists for scientific discovery in precision medicine	Evidence-Agent-C	Notes/06_Life_Sciences/Huang_2025_OmniCellAgent.md	exemplar	first_hand_html_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	exemplar
06	ASD-0051	Geneagent: Self-verification language agent for gene set knowledge discovery using domain databases	Evidence-Agent-C	Notes/06_Life_Sciences/Wang_2024_GeneAgent.md	exemplar	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	exemplar
06	ASD-0055	Biomaster: Multi-agent system for automated bioinformatics analysis workflow	Evidence-Agent-C	Notes/06_Life_Sciences/Su_2025_BioMaster.md	exemplar	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	exemplar
