paper_id	title	assigned_slice	evidence_agent	first_hand_sources_checked	local_pdf_found	recommended_pdf_url_or_status	agent_inclusion	concrete_scientific_objects	concrete_object_evidence	suggested_modules	suggested_01_04_bucket	primary_module_for_filing	boundary_type	confidence	note_revision_required	source_limited	safety_or_access_note	short_reason
ASD-0859	Monitoring active volcanism with the Autonomous Sciencecraft Experiment on EO-1	B	Evidence-Agent-B	publisher_abstract;doi_landing;ScienceDirect abstract page	no	https://www.sciencedirect.com/science/article/abs/pii/S0034425705002543	yes	active volcanism; volcanic thermal emission; Mt. Erebus lava lake	Official abstract says ASE autonomously detected thermal emission from the Mt. Erebus lava lake, retasked EO-1 for follow-up, and monitored multiple eruption styles.	05	none	05	05_vs_10_earth_science_vs_space_mission	high	no	yes	no special safety block; abstract-only first-hand access in this run	The agent autonomy serves Earth volcanism monitoring, so keep it in 05 rather than spacecraft/mission class 10.
ASD-0860	Autonomous detection of cryospheric change with hyperion on-board Earth Observing-1	B	Evidence-Agent-B	publisher_abstract;doi_landing;ScienceDirect abstract page	no	https://www.sciencedirect.com/science/article/abs/pii/S0034425706000216	yes	sea ice; lake ice; snow cover; cryospheric change	Official abstract says ASE classifiers measured cloud/snow/ice cover, detected freeze-thaw and sea-ice breakup, and autonomously triggered follow-up observations.	05	none	05	05_vs_10_earth_science_vs_space_mission	high	no	yes	no special safety block; abstract-only first-hand access in this run	The concrete objects are cryosphere targets on Earth, not mission autonomy as an end in itself.
ASD-0861	Flood detection and monitoring with the Autonomous Sciencecraft Experiment onboard EO-1	B	Evidence-Agent-B	publisher_abstract;doi_landing;ScienceDirect abstract page	no	https://www.sciencedirect.com/science/article/abs/pii/S0034425706000228	yes	flood events; water inundation; river flooding	Official abstract says ASE classified flood-induced changes in Hyperion images, autonomously modified plans, and detected flood events in Australia, Bangladesh, and Alaska.	05	none	05	05_vs_10_earth_science_vs_space_mission	high	no	yes	no special safety block; abstract-only first-hand access in this run	The scientific object is flood monitoring on Earth, so 05 is the right module.
ASD-0617	An industrial automated laboratory for programmable protein evolution	B	Evidence-Agent-B	publisher_abstract;doi_landing;Nature article page	no	https://www.nature.com/articles/s44286-025-00303-w	yes	programmable protein evolution; protein functions; LldR; LmrA; CapT7	Nature abstract says the platform enables continuous scalable protein evolution, evolves proteins with diverse functions, and produces functional protein entities such as CapT7.	06	none	06	06_only_not_01_04	high	no	yes	no safety block; Nature page provided abstract but PDF is paywalled in this run	This is a concrete protein-engineering / protein-evolution paper, not a domain-general method bucket record.
ASD-0724	Autonomous seeking and mapping coral reef biodiversity hotspots with a multimodal AUV	B	Evidence-Agent-B	publisher_metadata;Science Robotics landing metadata; bibliographic abstract mirror	no	https://www.science.org/doi/10.1126/scirobotics.adx9939	yes	coral reef biodiversity hotspots; mobile reef fauna; Dendrogyra pillar coral	Bibliographic abstract mirror reports a multimodal AUV using passive acoustics and vision to locate biodiversity hotspots on a Caribbean coral reef around a large Dendrogyra pillar coral.	06	none	06	06_vs_05_biodiversity_vs_environment	medium	no	yes	Science landing exposed metadata but not full abstract text directly in this run	The final object is marine biodiversity on coral reefs, so 06 is stronger than 05.
ASD-0536	TCM-Agent: Advancing Network Pharmacology and Herbal Medicine Discovery with LLM-Based Multi-Agent Systems	B	Evidence-Agent-B	publisher_abstract;doi_landing;official_journal_page	no	https://jpa.xjtu.edu.cn/article/doi/10.1016/j.jpha.2026.101581 (official page lists PDF and HTML full text)	yes	network pharmacology; herbal medicine discovery; TCM formulas; bioactive compounds	Official abstract says TCM-Agent is designed for network pharmacology and herbal medicine research, benchmarks 100 validated TCM studies, and aids bioactive compound discovery.	07	none	07	07_vs_01_04_domain_specific_medical_discovery	high	no	no	no safety block	This is anchored to TCM/herbal-medicine discovery rather than a concrete-object-free general research-agent benchmark.
ASD-0544	LLM-Agent Powered Automated Literature Review and Hypothesis Generation for Cancer Biomarker Discovery	B	Evidence-Agent-B	doi_landing;IEEE metadata snippet; WAF header check	no	Official DOI: https://doi.org/10.1109/ICOSST69113.2025.11315415 ; IEEE Xplore landing returned WAF challenge	yes	cancer biomarkers; biomarker-discovery hypotheses	Title and IEEE metadata anchor the system to automated literature review and hypothesis generation for cancer biomarker discovery.	07	none	07	07_vs_01_04_domain_specific_medical_discovery	medium	no	yes	IEEE Xplore returned AWS WAF challenge (`202 Accepted`, `x-amzn-waf-action: challenge`); stopped after confirming the access block	Even with limited access, the object is specifically cancer biomarker discovery, so it should stay in 07 rather than 01.04.
ASD-0858	Incorporating AEGIS autonomous science into Mars Science Laboratory rover mission operations	B	Evidence-Agent-B	doi_landing; metadata_mirror_with_abstract; AIAA access check	no	Official DOI: https://doi.org/10.2514/6.2018-2576 ; metadata mirror with abstract: https://researchprofiles.ku.dk/en/publications/incorporating-aegis-autonomous-science-into-mars-science-laborato/	yes	Mars rover mission operations; ChemCam target selection; Mars surface science targets	Metadata abstract says AEGIS autonomously selects ChemCam targets from rover images and supports MSL science operations since 2016.	10	none	10	10_vs_02_or_05_mission_operations_vs_planetary_object_science	high	no	yes	AIAA DOI landing returned Cloudflare challenge / 403; used university metadata mirror abstract and DOI metadata instead	The paper is about autonomous rover mission operations, so 10 is the best filing module.
ASD-0855	Automating Scientific Evaluation: A Multi-Agent Framework for Transparent and Trustworthy Peer Review	B	Evidence-Agent-B	publisher_abstract;doi_landing;ScienceDirect issue snippet	no	https://www.sciencedirect.com/science/article/pii/S240589632503157X (snippet shows complimentary access / View PDF)	yes	scientific peer review; scientific evaluation workflow; authors/reviewers/editors as agents	Official abstract says the framework targets scientific peer review via multi-agent collaboration, knowledge-grounded reasoning, and blockchain verification over formalized scientific representations.	11	none	11	11_07_vs_01_04_science_of_science	high	no	no	no safety block	This studies scientific knowledge-production and peer review itself, so it belongs in 11.07 rather than 01.04.
ASD-0508	Autonomous, multiproperty-driven molecular discovery: From predictions to measurements and back	B	Evidence-Agent-B	Science landing metadata; PubMed metadata; institutional abstract mirror	no	https://doi.org/10.1126/science.adi1407 ; PubMed https://pubmed.ncbi.nlm.nih.gov/38127734/	yes	dye-like molecules; absorption wavelength; lipophilicity; photooxidative stability	Institutional abstract mirror says the closed-loop platform ran case studies on dye-like molecules targeting absorption wavelength, lipophilicity, and photooxidative stability.	03	none	03	03_vs_04_molecules_vs_materials	high	no	no	Science direct page may challenge some clients, but title plus PubMed / institutional abstract were sufficient	This is concrete molecular discovery with explicit molecular properties, so 03 remains the right module.
ASD-0565	Agentic AI for autonomous discovery of radiation-tolerant CoCrFeMnNi high entropy alloys	C	Evidence-Agent-C	DOI landing redirect stub + ScienceDirect abstract snippet	no	source_limited; canonical DOI https://doi.org/10.1016/j.scriptamat.2026.117286	yes	CoCrFeMnNi high-entropy alloys; radiation tolerance	Accessible first-hand metadata and abstract-level publisher snippet frame autonomous discovery/optimization of radiation-tolerant HEAs as the reported object/result	04	none	04	stable_04	medium	uncertain	yes	No local PDF; only abstract-level publisher access verified	Concrete alloy-discovery object is clear, but evidence remains abstract-level
ASD-0572	Autonomous discovery of functional random heteropolymer blends through evolutionary formulation optimization	C	Evidence-Agent-C	DOI landing redirect stub + PubMed abstract + Crossref preprint relation	no	source_limited; canonical DOI https://doi.org/10.1016/j.matt.2025.102336 ; Crossref-linked preprint DOI 10.26434/chemrxiv-2024-nh0xn	yes	random heteropolymer blends; polymer formulations; protein stabilization/surfactant function	PubMed abstract reports evolutionary formulation optimization yielding functional random-heteropolymer blends used as protein-stabilizing surfactants, supporting both polymer/material and biomolecular-use coverage	04;06	none	04	04_vs_06	medium_high	no	yes	No local PDF; ChemRxiv/PDF access not completed in this environment	Primary object is polymer-blend materials discovery, with independent life-science validation via protein stabilization
ASD-0631	Autonomous Discovery of Polymer Electrolyte Formulations with Warm-Start Batch Bayesian Optimization	C	Evidence-Agent-C	Publisher DOI landing blocked/403 + Crossref DOI metadata + title/preprint snippet	no	source_limited; canonical DOI https://doi.org/10.1021/acs.chemmater.5c01209	yes	polymer electrolyte formulations; solid-state battery electrolyte materials	Title/metadata consistently describe an autonomous warm-start batch Bayesian-optimization platform for polymer-electrolyte formulation discovery/optimization	04	none	04	stable_04	medium	uncertain	yes	ACS landing/PDF access blocked here; no local archive	Closed-loop autonomy and materials object are plausible, but first-hand full-text evidence is still limited
ASD-0006	DORA AI Scientist: Multi-agent Virtual Research Team for Scientific Exploration Discovery and Automated Report Generation	C	Evidence-Agent-C	local archived PDF (bioRxiv preprint)	yes	local archived PDF used; canonical DOI https://doi.org/10.1101/2025.03.06.641840	yes	none verified	Full-text abstract and early sections present DORA as a multi-agent scientific exploration/drafting/report-generation assistant; biomedical examples are presented as writing-support use cases rather than DORA-run concrete object experiments	none	01.04	01	01.04_vs_06_07	medium	no	no	Previous live bioRxiv access limits are bypassed by the archived local PDF	Best treated as a general scientific-workflow/writing agent without verified object-level experiments by the system itself
ASD-0089	Researchcodeagent: An llm multi-agent system for automated codification of research methodologies	C	Evidence-Agent-C	local archived PDF (arXiv preprint)	yes	https://arxiv.org/pdf/2504.20117.pdf	yes	machine-learning methods/code tasks: data augmentation, optimization, data batching	Abstract reports multi-step agentic codification/evaluation on three concrete ML research-implementation tasks, giving formal-computational object coverage	01	none	01	01.04_vs_01	high	no	no	Local archived arXiv PDF available	Concrete ML implementation tasks move it out of 01.04 and into formal/computational object coverage
ASD-0090	Agents for self-driving laboratories applied to quantum computing	C	Evidence-Agent-C	local archived PDF (arXiv preprint)	yes	https://arxiv.org/pdf/2412.07978.pdf	yes	superconducting quantum processor; entangled quantum states	Abstract states the agents autonomously calibrated/operated a superconducting quantum processor and produced/characterized entangled quantum states	02	none	02	stable_02	high	no	no	Local archived arXiv PDF available	Direct quantum-physics experimental object coverage is explicit
ASD-0687	Agentic AI for Multi-Stage Physics Experiments at a Large-Scale User Facility Particle Accelerator	C	Evidence-Agent-C	local archived PDF (arXiv preprint)	yes	https://arxiv.org/pdf/2509.17255.pdf	yes	particle-accelerator machine-physics experiments	Opening summary states autonomous execution of multi-stage physics experiments at the Advanced Light Source with archive retrieval, script generation, machine interaction, and analysis under safety constraints	02	none	02	02_vs_09	medium_high	no	no	Local archived arXiv PDF available	Infrastructure-heavy system, but the validated task remains machine-physics experimentation
ASD-0091	Agentic mixture-of-workflows for multi-modal chemical search	C	Evidence-Agent-C	local archived PDF (arXiv preprint)	yes	https://arxiv.org/pdf/2502.19629.pdf	yes	small molecules; polymers; chemical reactions; NMR spectral retrieval	Abstract benchmarks the agentic workflows across small molecules, polymers, chemical reactions, and multimodal NMR retrieval for materials discovery	03;04	none	03	03_vs_04	high	no	no	Local archived arXiv PDF available	Chemical-search anchor is clear, with independent polymer/material benchmark coverage
ASD-0093	Augmenting large language models with chemistry tools	C	Evidence-Agent-C	local archived PDF + canonical DOI landing	yes	local archived PDF used; canonical DOI https://doi.org/10.1038/s42256-024-00832-8	yes	organic synthesis; drug-discovery tasks; materials-design tasks	Abstract explicitly says ChemCrow accomplishes tasks across organic synthesis, drug discovery, and materials design, with autonomous synthesis and chromophore-discovery demonstrations	03;04;07	none	03	03_vs_04_07	high	no	no	Local archived PDF available; canonical published DOI retained	Chemistry is the filing anchor, but the paper also reports concrete materials and drug-discovery task coverage
ASD-0506	Closed-loop transfer enables artificial intelligence to yield chemical knowledge	C	Evidence-Agent-C	local archived PDF + canonical DOI landing	yes	local archived PDF used; canonical DOI https://doi.org/10.1038/s41586-024-07892-1	yes	donor-acceptor molecules; molecular photostability	Full-text article studies photostability of donor-acceptor molecules via closed-loop synthesis/characterization and interpretable learning to extract chemical design rules	03	none	03	03_vs_04	medium_high	uncertain	no	Local archived PDF available	Reported object is molecular photostability/chemical knowledge; materials framing is application context rather than the main validated object
