paper_id	title	first_hand_sources_checked	local_pdf_found	recommended_pdf_url_or_status	agent_inclusion	concrete_scientific_objects	concrete_object_evidence	suggested_modules	suggested_01_04_bucket	primary_module_for_filing	boundary_type	confidence	note_revision_required	source_limited	safety_or_access_note	short_reason
ASD-0683	PeroMAS: A Multi-agent System of Perovskite Material Discovery	local PDF `Reference_PDF/04_Materials_Science/Wang_2026_PeroMAS.pdf` pp.1-2	yes	local archived PDF `Reference_PDF/04_Materials_Science/Wang_2026_PeroMAS.pdf`	yes	perovskite solar-cell materials; multi-objective perovskite material discovery; real synthesis validation	Abstract states perovskite-specific MCP tools design perovskite materials under multi-objective constraints, cover literature/data/property/mechanism steps, identify candidate materials, and verify effectiveness through real synthesis experiments.	04	none	04	04_vs_01.04	high	yes	no	local PDF available; first two pages checked this pass	no concrete-object ambiguity: this is a materials-discovery system with wet-lab validation
ASD-0649	CMIP-Forge: An Agentic System that Retrieves, Computes, and Self-Reviews Climate Science	local PDF `Reference_PDF/05_Earth_and_Environmental_Sciences/Pantiukhin_2026_CMIP_Forge.pdf` pp.1-2	yes	local archived PDF `Reference_PDF/05_Earth_and_Environmental_Sciences/Pantiukhin_2026_CMIP_Forge.pdf`	yes	CMIP6 literature corpus; ESGF climate data; atmospheric teleconnections; ocean dynamics; regional extremes; warming projections	Abstract states the system bridges CMIP6 publications and ESGF archives, executes live climate-data Python workflows, and demonstrates end-to-end autonomous pipelines across teleconnections, ocean dynamics, regional extremes, and warming projections.	05	none	05	05_vs_01.04	high	no	no	local PDF available; no access blocker	stable climate-science object anchored in CMIP/ESGF workflows rather than general agent infrastructure
ASD-0650	OpenEarth-Agent: From Tool Calling to Tool Creation for Open-Environment Earth Observation	local PDF `Reference_PDF/05_Earth_and_Environmental_Sciences/Zhao_2026_OpenEarth_Agent.pdf` pp.1-2	yes	local archived PDF `Reference_PDF/05_Earth_and_Environmental_Sciences/Zhao_2026_OpenEarth_Agent.pdf`	yes	open-environment Earth observation workflows; multi-source remote-sensing data; urban/agriculture/vegetation/water/soil/economy human-earth tasks	Abstract and intro define EO as perceiving dynamic land-surface change and human-earth systems, and OpenEarth-Bench covers 596 real-world full-pipeline cases across seven application domains with cross-domain EO execution.	05;08;11	none	05	05_vs_01.04_with_08_11	high	no	no	local PDF available; no access blocker	primary object is EO science workflow, with explicit agricultural and human-system task coverage supporting multi-module treatment
ASD-0034	Perturboagent: A self-planning agent for boosting sequential perturb-seq experiments	local PDF `Reference_PDF/06_Life_Sciences/Hao_2025_PerTurboAgent.pdf` pp.1-2	yes	local archived PDF `Reference_PDF/06_Life_Sciences/Hao_2025_PerTurboAgent.pdf`	yes	iterative Perturb-seq experiment design; gene perturbations; gene-expression phenotypes; gene regulatory mechanisms	Abstract and intro frame the task as predicting unseen genetic perturbation effects, prioritizing candidate gene panels, and iterating Perturb-seq rounds to learn causal gene-regulatory mechanisms from genome-scale perturbation data.	06	none	06	06_vs_07	high	no	no	local PDF available; no access blocker	object is functional-genomics experiment design, not therapeutic development
ASD-0678	Latent-Y: A Lab-Validated Autonomous Agent for De Novo Drug Design	local PDF `Reference_PDF/07_Medical_and_Health_Sciences/Schmon_2026_Latent_Y.pdf` pp.1-2	yes	local archived PDF `Reference_PDF/07_Medical_and_Health_Sciences/Schmon_2026_Latent_Y.pdf`	yes	de novo therapeutic antibody/peptide/mini-binder design; nanobody binders; target-specific drug-design campaigns	Abstract and intro state Latent-Y runs complete antibody design campaigns from text prompts, produces lab-ready sequences, and achieves lab-confirmed nanobody binders for 6 of 9 targets with single-digit nM affinities.	07	none	07	07_vs_06	high	yes	no	local PDF available; first two pages checked this pass	therapeutic drug-design object and lab validation dominate biomolecule-method framing
ASD-0716	Bio AI Agent: A Multi-Agent Artificial Intelligence System for Autonomous CAR-T Cell Therapy Development with Integrated Target Discovery, Toxicity Prediction, and Rational Molecular Design	local PDF `Reference_PDF/07_Medical_and_Health_Sciences/Ni_2025_Bio_AI_Agent_CAR_T.pdf` pp.1-2	yes	local archived PDF `Reference_PDF/07_Medical_and_Health_Sciences/Ni_2025_Bio_AI_Agent_CAR_T.pdf`	yes	CAR-T therapy development; target discovery; toxicity prediction; molecular design; patent analysis; clinical translation planning	Abstract and intro define a six-agent CAR-T development pipeline covering >10,000 cancer-associated targets, toxicity profiling, molecular design, patent intelligence, and translational roadmaps, with retrospective validation on risky targets and patent conflicts.	07	none	07	07_vs_06_or_01.04	medium_high	yes	no	local PDF available; evidence is retrospective/prototype rather than wet-lab validation	module boundary is still clearly therapeutic-development even though validation is retrospective
ASD-0510	A conversational multi-agent AI system for automated plant phenotyping	local PDF `Reference_PDF/08_Agricultural_Food_Forestry_Animal_and_Fishery_Sciences/Chen_2026_PhenoAssistant.pdf` pp.1-2; official Nature article page `https://www.nature.com/articles/s41467-026-71090-y`	yes	local archived PDF `Reference_PDF/08_Agricultural_Food_Forestry_Animal_and_Fishery_Sciences/Chen_2026_PhenoAssistant.pdf`; official page `https://www.nature.com/articles/s41467-026-71090-y`	yes	plant phenotyping; Arabidopsis phenotypes; potato data; winter wheat nutrient-deficiency / crop phenotyping tasks	Nature article page lists Arabidopsis thaliana case-study data plus potato and winter-wheat datasets; title/abstract frame the system as automated plant phenotyping and the official page describes multiple phenotype-extraction and analysis case studies.	06;08	none	08	06_08_multi_module	high	yes	no	local PDF and official page available; article-in-press/full article route visible	this is both plant-biology object work and crop/agriculture phenotyping, so relaxed multi-module treatment remains supported
ASD-0645	The Autonomous Sciencecraft Experiment Onboard the EO-1 Spacecraft	local PDF `Reference_PDF/10_Aerospace_Marine_and_Transportation_Sciences/Tran_2004_Autonomous_Sciencecraft_EO1.pdf` pp.1-2	yes	local archived PDF `Reference_PDF/10_Aerospace_Marine_and_Transportation_Sciences/Tran_2004_Autonomous_Sciencecraft_EO1.pdf`	yes	EO-1 spacecraft mission-science operations; onboard science-event detection; retargeting; mission replanning	Abstract and pages 1-2 show onboard science analysis, CASPER planning, SCL execution, live EO-1 autonomous retargeting, and replanning to capture short-lived science phenomena.	10	none	10	10_vs_05_or_01.04	high	no	no	local PDF available; no access blocker	stable object is spacecraft mission-science autonomy, not Earth-process analysis or general method
ASD-0524	AgenticSciML: collaborative multi-agent systems for emergent discovery in scientific machine learning	local PDF `Reference_PDF/01_Formal_Information_and_Computational_Sciences/Jiang_2026_AgenticSciML.pdf` pp.1-2	yes	local archived PDF `Reference_PDF/01_Formal_Information_and_Computational_Sciences/Jiang_2026_AgenticSciML.pdf`	yes	SciML architectures; loss formulations; training strategies; PINN/operator-learning discovery tasks	Abstract states 10+ specialized agents propose, critique, and refine SciML solutions and are validated across physics-informed learning and operator-learning tasks, discovering new SciML strategies that outperform baselines.	01	none	01	01_vs_01.04	high	yes	no	local PDF available; first two pages checked this pass	concrete formal-computational research object is SciML method discovery, so independent 01.04 treatment is not supported
ASD-0736	AI-Researcher: Autonomous Scientific Innovation	local PDF `Reference_PDF/01_Formal_Information_and_Computational_Sciences/Wang_2025_AI_Researcher.pdf` pp.1-2	yes	local archived PDF `Reference_PDF/01_Formal_Information_and_Computational_Sciences/Wang_2025_AI_Researcher.pdf`	yes	AI/computational research tasks; literature review; hypothesis generation; algorithm implementation; Scientist-Bench evaluation	Abstract and intro define a fully autonomous AI research system spanning literature review to implementation and manuscript preparation, and validate it with Scientist-Bench across diverse AI research domains and implementation-quality evaluation.	01	none	01	01_vs_01.04_or_11.07	medium_high	yes	no	local PDF available; first two pages checked this pass	workflow is general in form, but reported tasks and evaluation remain anchored in concrete AI/computational research objects
ASD-0743	STAT: A multi-agent framework for integrated and interactive spatial transcriptomics analysis	local archived bioRxiv PDF; abstract; intro; benchmark/results sections	yes	local_archive: Reference_PDF/06_Life_Sciences/Chen_2026_STAT_Spatial_Transcriptomics.pdf	yes	spatial transcriptomics tissues and cohorts; DLPFC; mouse brain cortex; breast cancer; colorectal cancer	benchmarked on Visium DLPFC, MERFISH mouse brain, Xenium breast cancer; reproduced a Visium HD colorectal cancer study from natural-language prompts	06;07	none	06	06-07 multi-module life/medical overlap	high	yes	no	no access blocker in current round	multi-agent spatial omics analysis clearly covers concrete life-science tissues plus disease cohorts
ASD-0744	BioGAIP: A Scalable, User-Friendly and Robust LLM-Powered Multi-Agent System for Automated Bioinformatics Tasks	local archived bioRxiv PDF; abstract; intro; results snippets	yes	local_archive: Reference_PDF/06_Life_Sciences/Zhang_2026_BioGAIP_Bioinformatics.pdf	yes	multi-omics bioinformatics objects; RNA-seq; ATAC-seq; ChIP-seq; WGS; scRNA-seq; SCLC tumor and PDX data	results section explicitly uses published multi-omics datasets including aggressive small-cell lung cancer, tumor subpopulations, and PDX tumor comparisons	06;07	none	06	platform-heavy 06-07 expansion risk	medium_high	yes	no	no access blocker in current round	full PDF gives stronger concrete disease-dataset evidence than old abstract-only 06 reading
ASD-0745	BioLab: End-to-End Autonomous Life Sciences Research with Multi-Agents System Integrating Biological Foundation Models	local archived preprint PDF; abstract; benchmark; case-study sections	yes	local_archive: Reference_PDF/06_Life_Sciences/Jin_2025_BioLab_Life_Sciences.pdf	yes	DNA; RNA; protein; cell; chemical tasks; macrophage targets; PD-1; therapeutic antibodies; PBMC/CD8 T cells	closed-loop macrophage-targeting antibody design and PD-1/pembrolizumab optimization with wet-lab validation and IC50 improvement	06;07	none	06	06-07 multi-module with therapeutic validation	high	yes	no	no access blocker in current round	concrete biological-scale tasks plus therapeutic validation strongly support 06 and 07
ASD-0770	Progressive Multi-Agent Reasoning for Biological Perturbation Prediction	local archived arXiv PDF; abstract; benchmark and case-study sections	yes	local_archive: Reference_PDF/06_Life_Sciences/Kim_2026_PBio_Agent_Perturbation_Biology.pdf	yes	compound perturbation transcriptional responses; LINCS L1000; melanoma and NSCLC cell lines; gene regulation under drug treatment	LINCSQA benchmark includes A375 BRAF V600E melanoma and KRAS G12C NSCLC cell lines with drug-sensitivity comparisons and gene-level perturbation prediction	06;07	none	06	06-07 perturbation-biology/drug-response overlap	medium_high	yes	no	no access blocker in current round	not just generic method work; it uses concrete disease-linked perturbation and pharmacology settings
ASD-0531	GALILEO: Embodied AI scientist for autonomous therapeutic discovery in dynamic membrane systems	local archived bioRxiv PDF; summary; intro	yes	local_archive: Reference_PDF/07_Medical_and_Health_Sciences/Jiang_2026_GALILEO_Therapeutic_Discovery.pdf	yes	therapeutic peptides; membrane proteins LRRC8C and SLC25A1; tumor organoids/fragments; immune-cell activation	summary reports robotic peptide synthesis, wet-lab feedback, membrane-target intervention, tumor-dependent T-cell activation, and citrate-export metabolism disruption	06;07	none	07	07-primary therapeutic-discovery with 06 assay biology	high	yes	no	no access blocker in current round	embodied agent directly performs therapeutic discovery with living-system feedback
ASD-0543	Machine Learning Copilot Agent: An LLM-Guided Workflow for Prognostic Gene Discovery	local archived PDF; title page; abstract; methodology/case-study sections	yes	local_archive: Reference_PDF/06_Life_Sciences/Patel_2025_ML_Copilot_Prognostic_Gene_Discovery.pdf	yes	HNSCC prognostic genes; LUAD subtypes; breast-cancer receptor status; anemia CBC; transcriptomics and proteomics	abstract reports six biomedical task settings across head and neck cancer, lung adenocarcinoma, breast cancer, and anemia using multi-cohort omics and clinical data	06;07	none	07	07-primary translational/clinical with 06 omics overlap; title-drift risk	medium_high	yes	no	archived PDF title is broader than current master title; identity wording should be synced	full PDF supports concrete biomedical objects, but note/master likely need title and scope refresh
ASD-0545	IMMUNIA: A Multi-LLM Reasoning Agent for Immunoregulatory Surfaceome Discovery	local archived bioRxiv PDF; abstract; intro	yes	local_archive: Reference_PDF/07_Medical_and_Health_Sciences/Park_2025_IMMUNIA_Surfaceome_Discovery.pdf	yes	immunoregulatory surfaceome genes; immunotherapy biomarkers; tumor-immune crosstalk	abstract prioritizes IL1R1, BSG, CD276, ALCAM, B2M, PTPRS, VCAN, MXRA5 and frames them as precision immunotherapy biomarker candidates	06;07	none	07	07-primary biomarker discovery with 06 surfaceome biology	high	yes	no	no access blocker in current round	clear precision-immunotherapy discovery object with explicit biological gene-level evidence
ASD-0554	BioAgent: An Auditable Multi-Agent Framework for Reproducible Translational Bioinformatics	local archived PDF; abstract; results; benchmark sections	yes	local_archive: Reference_PDF/01_Formal_Information_and_Computational_Sciences/Rahim_2026_BioAgent_Reproducible_Translational_Bioinformatics.pdf	yes	BRAF V600E melanoma; TP53 pan-cancer; PBMC 3k single-cell immune profiling; translational bioinformatics workflows	results explicitly evaluate three disease/immune benchmark studies rather than only generic workflow infrastructure	06;07	none	07	platform-heavy but concrete biomedical objects; not 01.04	high	yes	no	no access blocker in current round	full PDF strongly rejects a pure 01.04 reading because concrete biomedical benchmark objects are explicit
ASD-0556	DrugPilot: LLM-based Parameterized Reasoning Agent for Drug Discovery	local archived PDF; abstract; framework; case-study sections	yes	local_archive: Reference_PDF/07_Medical_and_Health_Sciences/Hu_2025_DrugPilot.pdf	yes	drug molecules; BACE inhibitor prediction; drug-response prediction; drug-cell-line efficacy; end-to-end drug discovery tasks	case studies use BACE dataset and GDSCv2 drug-cell-line combinations; system supports eight core drug-discovery tasks with concrete molecules and efficacy prediction	07	none	07	07-vs-03 medicinal chemistry boundary	medium_high	yes	no	no access blocker in current round	despite benchmark-heavy framing, the concrete object remains drug discovery and therapeutic efficacy
ASD-0052	Optimizing collaboration of large language model based agents for autonomous finite element analysis	local archived PDF; abstract; intro	yes	local_archive: Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/Tian_2025_Autonomous_Finite_Element_Analysis.pdf	yes	linear-elastic finite element analysis tasks; engineering simulation workflows; multi-agent validation roles	abstract reports 1120 controlled trials across seven role configurations and four FEA tasks, centered on engineering-analysis correctness	09	none	09	09 engineering object; title-drift identity risk	high	yes	no	archived PDF title differs from current master title and should be synced, but access is fine	concrete scientific object is engineering FEA, not a general research-agent method
