paper_id	title	note_path	primary_module_for_filing	classification_anchor	object_coverage_mode	general_method_bucket	note_status	source_limited	pdf_exists	citation_priority	queue_reasons	priority_score
ASD-0062	Empowering scientific workflows with federated agents	Notes/01_Formal_Information_and_Computational_Sciences/Pauloski_2026_Federated_Agents.md	01	01;02;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0069	The ai scientist: Towards fully automated open-ended scientific discovery	Notes/01_Formal_Information_and_Computational_Sciences/Lu_2024_AI_Scientist.md	01	01;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0111	SciMaster: Towards general-purpose scientific AI agents, Part I. X-Master as foundation: Can we lead on Humanity's Last Exam?	Notes/01_Formal_Information_and_Computational_Sciences/Chai_2025_SciMaster.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0145	CycleResearcher: Improving automated research via automated review	Notes/01_Formal_Information_and_Computational_Sciences/Weng_2025_CycleResearcher.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0523	Towards end-to-end automation of AI research	Notes/01_Formal_Information_and_Computational_Sciences/Lu_2026_End_to_End_AI_Research.md	01	01;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0530	Autonomous Scientific Discovery Through Hierarchical AI Scientist Systems	Notes/01_Formal_Information_and_Computational_Sciences/Yue_2025_Hierarchical_AI_Scientist_Systems.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0662	Mimosa Framework: Toward Evolving Multi-Agent Systems for Scientific Research	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_Mimosa_Framework.md	01	03;05;06;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0671	AutoResearchClaw: Self-Reinforcing Autonomous Research with Human-AI Collaboration	Notes/01_Formal_Information_and_Computational_Sciences/Liu_2026_AutoResearchClaw.md	01	01;02;06	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0676	AutoSci: A Memory-Centric Agentic System for the Full Scientific Research Lifecycle	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_AutoSci.md	01	01;06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0056	Delocalized, asynchronous, closed-loop discovery of organic laser emitters	Notes/03_Chemical_Sciences/StriethKalthoff_2024_Organic_Laser_Emitters.md	03	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0158	A robotic platform for flow synthesis of organic compounds informed by AI planning	Notes/03_Chemical_Sciences/Coley_2019_Flow_Synthesis_AI_Planning.md	03	03	single_module	none	updated_source_limited	yes	no	core	source_limited_note_refresh;source_limited_wording_confirmation	45
ASD-0506	Closed-loop transfer enables artificial intelligence to yield chemical knowledge	Notes/03_Chemical_Sciences/Angello_2024_ClosedLoop_Transfer_Chemical_Knowledge.md	03	03	single_module	none	updated_source_limited	yes	yes	core	source_limited_note_refresh;source_limited_wording_confirmation	45
ASD-0507	Identifying general reaction conditions by bandit optimization	Notes/03_Chemical_Sciences/Wang_2024_General_Reaction_Conditions_Bandit.md	03	03	single_module	none	updated_source_limited	yes	yes	core	source_limited_note_refresh;source_limited_wording_confirmation	45
ASD-0519	A high-throughput experimentation platform for data-driven discovery in electrochemistry	Notes/03_Chemical_Sciences/Lin_2025_High_Throughput_Electrochemistry_Discovery.md	03	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0664	Autonomous computational catalysis through an agentic research system	Notes/03_Chemical_Sciences/Unknown_2026_Autonomous_Computational_Catalysis.md	03	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0787	SciToolAgent: a knowledge-graph-driven scientific agent for multitool integration	Notes/01_Formal_Information_and_Computational_Sciences/Ding_2025_SciToolAgent.md	03	03;04;06	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0060	Piflow: Principle-aware scientific discovery with multi-agent collaboration	Notes/01_Formal_Information_and_Computational_Sciences/Pu_2026_PiFlow.md	04	03;04;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0096	dziner: Rational inverse design of materials with ai agents	Notes/04_Materials_Science/Ansari_2024_dZiner.md	04	03;04;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0151	Self-driving lab discovers principles for steering spontaneous emission beyond conventional Fourier optics	Notes/04_Materials_Science/Desai_2026_Spontaneous_Emission_SDL.md	04	02;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0516	A self-driving physical vapor deposition system making sample-specific decisions on the fly	Notes/04_Materials_Science/Zheng_2025_Self_Driving_PVD_System.md	04	04;09	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0525	TeLLAgent: a dual-agent framework for reliable scientific discovery with tool-enhanced LLMs	Notes/01_Formal_Information_and_Computational_Sciences/Sun_2026_TeLLAgent.md	04	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0659	Autonomous Agents Coordinating Distributed Discovery Through Emergent Artifact Exchange	Notes/01_Formal_Information_and_Computational_Sciences/Wang_2026_Artifact_Exchange.md	04	04;06;07;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0673	Harnessing AtomisticSkills for Agentic Atomistic Research	Notes/01_Formal_Information_and_Computational_Sciences/Deng_2026_AtomisticSkills.md	04	03;04;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0790	Hierarchical Multi-agent Large Language Model Reasoning for Autonomous Heterogeneous Catalyst Discovery	Notes/04_Materials_Science/Rothfarb_2026_Heterogeneous_Catalyst_Discovery.md	04	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0792	Autonomous heterogeneous catalyst discovery with a self-evolving multi-agent digital twin	Notes/04_Materials_Science/Song_2026_CatDT_Heterogeneous_Catalyst_Discovery.md	04	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0650	OpenEarth-Agent: From Tool Calling to Tool Creation for Open-Environment Earth Observation	Notes/05_Earth_and_Environmental_Sciences/Zhao_2026_OpenEarth_Agent.md	05	05;08;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0064	Phenograph: A multi-agent framework for phenotype-driven discovery in spatial transcriptomics data augmented with knowledge graphs	Notes/06_Life_Sciences/Niyakan_2025_PhenoGraph.md	06	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0663	AutoScientists: Self-Organizing Agent Teams for Long-Running Scientific Experimentation	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_AutoScientists.md	06	01;06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0669	MARBLE: Multi-Agent Reasoning for Bioinformatics Learning and Evolution	Notes/06_Life_Sciences/Kim_2026_MARBLE.md	06	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0714	K-Dense Analyst: Towards Fully Automated Scientific Analysis	Notes/06_Life_Sciences/Li_2025_K_Dense_Analyst.md	06	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0008	Accelerating Drug Discovery Through Agentic AI: A Multi-Agent Approach to Laboratory Automation in the DMTA Cycle	Notes/07_Medical_and_Health_Sciences/Fehlis_2025_Tippy_DMTA.md	07	07;03	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0024	Large language model agent for modular task execution in drug discovery	Notes/07_Medical_and_Health_Sciences/Ock_2025_AgentD.md	07	07;03	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0054	The virtual lab: Ai agents design new sars-cov-2 nanobodies with experimental validation	Notes/07_Medical_and_Health_Sciences/Swanson_2025_Virtual_Lab_Nanobodies.md	07	07;06	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0115	Towards an AI co-scientist	Notes/07_Medical_and_Health_Sciences/Gottweis_2025_Co_Scientist.md	07	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0118	Biomni: A general-purpose biomedical AI agent	Notes/07_Medical_and_Health_Sciences/Huang_2025_Biomni.md	07	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0357	Origene: A self-evolving virtual disease biologist automating therapeutic target discovery	Notes/07_Medical_and_Health_Sciences/Zhang_2025_OriGene.md	07	07	single_module	none	updated_source_limited	yes	yes	core	source_limited_note_refresh;source_limited_wording_confirmation	45
ASD-0540	A multi-agent system for automating scientific discovery	Notes/07_Medical_and_Health_Sciences/Ghareeb_2025_Robin.md	07	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0510	A conversational multi-agent AI system for automated plant phenotyping	Notes/08_Agricultural_Food_Forestry_Animal_and_Fishery_Sciences/Chen_2026_PhenoAssistant.md	08	06;08	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0511	Operating advanced scientific instruments with AI agents that learn on the job	Notes/09_Engineering_and_Industrial_Technology_Sciences/Vriza_2026_AI_Agents_Scientific_Instruments.md	09	04;09	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0691	OASIS: Onboard Autonomous Science Investigation System for Opportunistic Rover Science	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Castano_2007_OASIS_Rover_Science.md	10	05;10	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0693	Enabling Onboard Detection of Events of Scientific Interest for the Europa Clipper Spacecraft	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Wagstaff_2019_Europa_Clipper_Onboard_Detection.md	10	05;10	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0697	AEGIS autonomous targeting for ChemCam on Mars Science Laboratory: Deployment and results of initial science team use	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Francis_2017_AEGIS_ChemCam_MSL.md	10	05;10	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0703	Autonomous Science Agents and Sensor Webs: EO-1 and Beyond	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Sherwood_2006_EO1_Autonomous_Science_Agents.md	10	05;10	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0710	AEGIS Autonomous Targeting for the SuperCam Instrument on the Mars 2020 Perseverance Rover	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Francis_2024_AEGIS_SuperCam.md	10	05;10	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0844	Science Earth: Towards A Planet-Scale Operating System for AI-Native Scientific Discovery	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_Science_Earth.md	01	01;06	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0845	SciDER: Scientific Data-centric End-to-end Researcher	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_SciDER.md	01	01;02;11	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0850	OR-Agent: Bridging Evolutionary Search and Structured Research for Automated Algorithm Discovery	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_OR_Agent.md	01	01;10	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0857	Machine Collective Intelligence for Explainable Scientific Discovery	Notes/01_Formal_Information_and_Computational_Sciences/Na_2026_Machine_Collective_Intelligence.md	02	02;03;04;06;09	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0869	STRIDE: A Self-Reflective Agent Framework for Reliable Automatic Equation Discovery	Notes/01_Formal_Information_and_Computational_Sciences/Su_2026_STRIDE_Equation_Discovery.md	02	02;03;04;06	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0870	SR-Scientist: Scientific Equation Discovery With Agentic AI	Notes/01_Formal_Information_and_Computational_Sciences/Xia_2025_SR_Scientist.md	02	02;03;04;06	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0871	The Denario project: Deep knowledge AI agents for scientific discovery	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2025_Denario.md	02	02;03;04;06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0003	CheMatAgent: Enhancing LLMs for Chemistry and Materials Science through Tree-Search Based Tool Learning	Notes/03_Chemical_Sciences/Wu_2025_ChemAgent.md	03	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0117	OSDA agent: Leveraging large language models for de novo design of organic structure directing agents	Notes/03_Chemical_Sciences/Hu_2025_OSDA_Agent.md	03	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0381	Autonomous reaction Pareto-front mapping with a self-driving catalysis laboratory	Notes/03_Chemical_Sciences/Bennett_2024_FastCat_Pareto_Front.md	03	03	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0587	Collective intelligence for AI-assisted chemical synthesis	Notes/03_Chemical_Sciences/Unknown_2026_MOSAIC_Chemical_Synthesis.md	03	03	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0603	Reconfigurable system for automated optimization of diverse chemical reactions	Notes/03_Chemical_Sciences/Bedard_2018_Reconfigurable_Reaction_Optimization.md	03	03	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0740	Discovery of tunable and soluble organic emitters for solid-state lasers with a self-driving laboratory	Notes/03_Chemical_Sciences/Park_2026_Organic_Emitters_SelfDriving_Lab.md	03	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0818	MolMem: Memory-Augmented Agentic Reinforcement Learning for Sample-Efficient Molecular Optimization	Notes/03_Chemical_Sciences/Wang_2026_MolMem.md	03	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0819	SEISMO: Increasing Sample Efficiency in Molecular Optimization with a Trajectory-Aware LLM Agent	Notes/03_Chemical_Sciences/Kruger_2026_SEISMO.md	03	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0821	Agentic reinforcement learning empowers next-generation chemical language models for molecular design and synthesis	Notes/03_Chemical_Sciences/Li_2026_ChemCraft.md	03	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0832	Nikolas: AI Agent for Semi-Autonomous Catalyst Discovery Using the PRISM Meta-Cognitive Architecture	Notes/03_Chemical_Sciences/Mopgar_2026_Nikolas_Catalyst_Discovery.md	03	03	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0838	Discovery Science with Autonomous ML-Driven Continuous Flow Chemistry	Notes/03_Chemical_Sciences/Advincula_2026_Autonomous_Flow_Chemistry.md	03	03	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0116	Electromagnetic metamaterial agent	Notes/04_Materials_Science/Hu_2025_Electromagnetic_Metamaterial_Agent.md	04	04;09	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0385	AlphaFlow: autonomous discovery and optimization of multi-step chemistry using a self-driven fluidic lab guided by reinforcement learning	Notes/04_Materials_Science/Volk_2023_AlphaFlow_Nanoparticle_Growth.md	04	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0466	Discovery of Wall-Selective Carbon Nanotube Growth Conditions <i>via</i> Automated Experimentation	Notes/04_Materials_Science/Nikolaev_2014_CNT_Wall_Selectivity.md	04	04	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0491	Optimizing Perovskite Thin-Film Parameter Spaces with Machine Learning-Guided Robotic Platform for High-Performance Perovskite Solar Cells	Notes/04_Materials_Science/Zhang_2023_Perovskite_ThinFilm_SPINBOT.md	04	04	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0520	Bayesian learning-assisted catalyst discovery for efficient iridium utilization in electrochemical water splitting	Notes/04_Materials_Science/Niu_2025_Bayesian_Catalyst_Discovery_Iridium.md	04	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0522	Evaluating large language model agents for automation of atomic force microscopy	Notes/04_Materials_Science/Mandal_2024_AILA_Autonomous_Microscopy.md	04	04;09	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0539	Accelerating materials discovery via AI-Agent integration of large language models and simulation tools	Notes/04_Materials_Science/Wang_2026_AI_Agent_Materials_Discovery.md	04	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0547	Closed-loop experimental AI for pixelated metasurface design	Notes/04_Materials_Science/Lee_2026_Closed_Loop_Pixelated_Metasurface_Design.md	04	04	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0558	Closed-Loop AI Enables Organic Continuous-Wave Laser	Notes/04_Materials_Science/Zhang_2025_Closed_Loop_AI_Organic_CW_Laser.md	04	04	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0568	Multi-Agent-Network-Based Idea Generator for Zinc-Ion Battery Electrolyte Discovery: A Case Study on Zinc Tetrafluoroborate Hydrate-Based Deep Eutectic Electrolytes	Notes/04_Materials_Science/Robson_2025_Zinc_Ion_Electrolyte_Idea_Generator.md	04	04	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0569	Autonomous Nanocrystal Doping by Self-Driving Fluidic Micro-Processors	Notes/04_Materials_Science/Bateni_2022_Autonomous_Nanocrystal_Doping.md	04	04	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0572	Autonomous discovery of functional random heteropolymer blends through evolutionary formulation optimization	Notes/04_Materials_Science/Wu_2025_Random_Heteropolymer_Blends.md	04	04;06	multi_module	none	updated	no	no	standard	multi_module_note_wording_check	40
ASD-0581	A chemical autonomous robotic platform for end-to-end synthesis of nanoparticles	Notes/04_Materials_Science/Unknown_2025_Autonomous_Nanoparticle_Synthesis.md	04	04	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0582	Autonomous platform for solution processing of electronic polymers	Notes/04_Materials_Science/Unknown_2025_Autonomous_Electronic_Polymer_Processing.md	04	04	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0591	Self-optimizing parallel millifluidic reactor for scaling nanoparticle synthesis	Notes/04_Materials_Science/Wang_2020_SelfOptimizing_Millifluidic_Nanoparticles.md	04	04	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0735	Artificial Chemist: An Autonomous Quantum Dot Synthesis Bot	Notes/04_Materials_Science/Epps_2020_Artificial_Chemist_Quantum_Dot.md	04	04	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0739	Autonomous microfluidic experimentation for exploring reaction inference and synthesizing double perovskite nanoplatelets	Notes/04_Materials_Science/Sharma_2026_Double_Perovskite_Nanoplatelets.md	04	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0811	Closed-Loop Molecular Design with Calibrated Deference	Notes/04_Materials_Science/Unknown_2026_CLIO.md	04	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0651	AI Driven Discovery of Bio Ecological Mediation in Cascading Heatwave Risks	Notes/05_Earth_and_Environmental_Sciences/Wang_2025_Heatwave_Discovery_Agent.md	05	05;11	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0722	An Autonomous Earth-Observing Sensorweb	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Chien_2005_Autonomous_Earth_Observing_Sensorweb.md	05	05;10	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0727	GeoAgentic-RAG: A Multi-Agent framework for autonomous geospatial reasoning and visual insight generation with LLM	Notes/05_Earth_and_Environmental_Sciences/Liang_2026_GeoAgentic_RAG.md	05	05	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
