paper_id	final_agent_inclusion	supported_modules	final_01_04_bucket	primary_module_for_filing	boundary_type	confidence	source_limited	safety_access_status	note_revision_required	master_update_required	final_reason
ASD-0565	yes	04	none	04	04_vs_03_alloy_material_boundary	medium	yes	publisher_record_limited_abstract	no	no	The title/publisher record securely identify a high-entropy-alloy materials object, but the evidence depth is still limited, so keep conservative 04 with source-limited.
ASD-0631	yes	04	none	04	04_vs_03_material_formulation_boundary	medium	yes	landing_pages_only_fetch_limited	no	no	The anchored object is polymer electrolyte formulations for battery materials, which is enough for 04 even without readable main text.
ASD-0381	yes	03	none	03	stable_single_module_03	high	no	html_preview_and_supplementary_readable	no	no	The readable Nature page and supplement directly support autonomous catalysis experiments on a concrete reaction system, so 03 is a clean landing.
ASD-0609	yes	03	none	03	03_vs_09_workflow_boundary	high	no	open_access_html_readable	no	no	The full text directly shows robotic closed-loop pH adjustment in buffered chemical systems, making this a stable chemistry-object paper.
ASD-0592	yes	04	none	04	stable_single_module_04	high	no	open_access_full_text_and_pdf_readable	no	no	Open full text and PDF directly support autonomous synthesis/optimization of Nb-doped TiO2 thin films, so 04 is secure.
ASD-0854	yes	10	none	10	10_vs_05_rover_science_vs_observation_boundary	medium	yes	official_snippet_and_project_page_only	no	no	The official snippets/project page support rover mission-science autonomy and onboard geologic targeting, which is enough for 10 but remains source-limited.
ASD-0541	yes	none	01.04_general_asd_methods_without_concrete_object_experiments	01	01.04_vs_06_no_concrete_object_cases_read	medium	yes	metadata_and_official_site_only	yes	yes	The checked first-hand materials do not securely establish paper-level concrete biology-object experiments, so this stays in 01.04.
ASD-0553	yes	none	01.04_general_asd_methods_without_concrete_object_experiments	01	01.04_vs_06_07_no_concrete_object_cases_read	medium	yes	metadata_and_official_site_only	no	no	The usable evidence supports a bioinformatics automation method paper, but not concrete paper-level gene/protein/cell/disease experiments, so retain 01.04.
ASD-0466	yes	04	none	04	04_stable_object_signal_autonomy_detail_thin	medium	yes	metadata_plus_supporting_info_advertised	no	no	The object signal is clear nanomaterials discovery over CNT growth conditions, even though autonomy-loop detail is thinner without readable full text.
ASD-0599	yes	06	none	06	06_source_limited_but_object_explicit	medium	yes	preprint_metadata_only	no	no	The title/landing metadata already anchor a concrete enzyme-engineering object, so 06 is safer than 01.04 while remaining source-limited.
ASD-0741	yes	06	none	06	06_vs_01.04_concrete_biology_object_explicit	medium	yes	preprint_metadata_plus_repo_support	no	no	The preprint title plus repo support a concrete spatial-transcriptomics/pancreas maturation biology object, so 06 is justified.
